# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-11_BARCA_plate 3_A1-G6(2).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 02:27:49 PM CEST
# Run End Date/Time: 2021-08-11 03:37:23 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 03:15:33 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:33:55 PM CEST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","16000491010030","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"1","A1","false","16000491010030","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"2","A2","false","16000491010510","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","1.1078975369706332","","","30.176181825929923","0.9764743751708124","30.070970725532774","0.14879096509397408","true","0.03999999910593033","true","3","28"
"2","A2","false","16000491010510","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","1.0361201584689028","","","29.35481675548251","0.9470929785341354","29.387418926864605","0.046106432929352806","true","0.03999999910593033","true","3","26"
"3","A3","false","16000491010511","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"3","A3","false","16000491010511","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"4","A4","false","16000491010512","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","1.1292486721623212","","","26.86929810267698","0.9760015131791803","26.727622434824337","0.20035965093605904","true","0.03999999910593033","true","3","24"
"4","A4","false","16000491010512","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","1.0000295597637803","","","27.74220003950986","0.9618721153621091","27.557053804792517","0.2618363161598569","true","0.03999999910593033","true","3","25"
"5","A5","false","16000491010515","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"5","A5","false","16000491010515","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"6","A6","false","16000491010517","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"6","A6","false","16000491010517","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"7","A7","false","16000491010030","DPP6","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"7","A7","false","16000491010030","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"8","A8","false","16000491010510","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.9992189634701253","","","29.13493213521084","0.9795907829453931","29.13133393783691","0.0050886195381282555","true","0.03999999910593033","true","3","26"
"8","A8","false","16000491010510","GYPC2","UNKNOWN","CY5","NFQ-MGB","Amp","0.9311433114984364","","","29.4691196184899","0.9374111185729938","29.566831027900513","0.13818480038666295","true","0.03999999910593033","true","3","27"
"9","A9","false","16000491010511","DPP6","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.49691395859011905","","","41.00185187648559","0.5174648408015164","38.86581584133404","3.020811130628877","true","0.03999999910593033","true","3","32"
"9","A9","false","16000491010511","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"10","A10","false","16000491010512","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","1.1026193023980184","","","26.801975465541688","0.9852656007792336","26.827614784492457","0.036259472587614965","true","0.03999999910593033","true","3","23"
"10","A10","false","16000491010512","GYPC2","UNKNOWN","CY5","NFQ-MGB","Amp","1.0194821072809561","","","27.31104689759391","0.9578278067706257","27.27804724592545","0.0466685549428456","true","0.03999999910593033","true","3","24"
"11","A11","false","16000491010515","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.8640506466766064","","","31.97337266087178","0.9642938855329221","32.15501208191466","0.2568769326999304","true","0.03999999910593033","true","3","28"
"11","A11","false","16000491010515","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"12","A12","false","16000491010517","DPP6","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.7521528047755758","","","37.600383916203064","0.9310260621602462","37.600383916203064","","true","0.03999999910593033","true","3","34"
"12","A12","false","16000491010517","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"13","A13","false","16000491010030","RALYL","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
