# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-11_BARCA_plate 3_standards.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 06:23:43 PM CEST
# Run End Date/Time: 2021-08-11 07:33:08 PM CEST
# Run Duration: 69 minutes 25 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-13 09:37:50 AM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:35:15 PM CEST
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"STD_1","COL2A1","2","1000000.0","0","19.635966454274858","0.5970852562305697","0.4222030336271431",
"STD_1","DPP6","2","1000000.0","0","19.41081168987655","0.06807694833861368","0.048137671812719995",
"STD_1","EpC","2","1000000.0","0","18.74293623745403","0.16188934941726993","0.11447305677483001",
"STD_1","GSX1","2","1000000.0","0","19.86783939126468","0.04670382034322764","0.03302458807201449",
"STD_1","GYPC1","2","1000000.0","0","18.678103056158815","0.027925038088136244","0.01974598379701376",
"STD_1","GYPC2","2","1000000.0","0","18.43067178020294","0.08870916241039858","0.06272685029377162",
"STD_1","ImC","2","1000000.0","0","20.671578343028987","0.09475785252621759","0.06700392009196328",
"STD_1","RALYL","2","1000000.0","0","18.678329538721478","0.057629288877509274","0.040750060960245284",
"STD_1","ZSCAN12","2","1000000.0","0","19.23987277654403","0.02893626824646579","0.02046103149930893",
"STD_2","COL2A1","2","100000.0","0","23.372275285832664","1.6798209016799043E-4","1.1878127507567609E-4",
"STD_2","DPP6","2","100000.0","0","22.97036331782329","0.0283905038761667","0.020075117812140435",
"STD_2","EpC","2","100000.0","0","22.253413818426345","0.04123330192438537","0.02915634740144521",
"STD_2","GSX1","2","100000.0","0","23.23048125502519","0.020864930561410224","0.014753733888959607",
"STD_2","GYPC1","2","100000.0","0","21.93903979465576","0.20962967444017475","0.14823056433457582",
"STD_2","GYPC2","2","100000.0","0","22.003338583623986","0.18186012250880088","0.12859452585338937",
"STD_2","ImC","2","100000.0","0","24.05722940672526","0.14027628907738973","0.0991903152463067",
"STD_2","RALYL","2","100000.0","0","22.06535450499463","0.023373703520780616","0.016527704260987854",
"STD_2","ZSCAN12","2","100000.0","0","22.513493161034436","0.11207523061774885","0.07924915557285639",
"STD_3","COL2A1","2","10000.0","0","26.906568692262503","0.09233189230017298","0.06528850716523829",
"STD_3","DPP6","2","10000.0","0","26.451269842535275","0.04262965645897925","0.030143719161797134",
"STD_3","EpC","2","10000.0","0","25.70823870034769","0.09130883288667922","0.06456509491640011",
"STD_3","GSX1","2","10000.0","0","26.671154385222206","0.07024775143384816","0.04967266140198105",
"STD_3","GYPC1","2","10000.0","0","25.547624272672437","0.038924897051398975","0.02752405866203246",
"STD_3","GYPC2","2","10000.0","0","25.439430284551463","7.745485411883285E-5","5.4768852583241496E-5",
"STD_3","ImC","2","10000.0","0","27.62280021139052","0.11152693717146579","0.07886145355890949",
"STD_3","RALYL","2","10000.0","0","25.468822856439758","0.11591626327087796","0.08196517580864293",
"STD_3","ZSCAN12","2","10000.0","0","26.14958993510202","0.033088723837906876","0.023397261006592916",
"STD_4","COL2A1","2","1000.0","0","29.73690675254335","0.5724407006635863","0.4047767012664005",
"STD_4","DPP6","2","1000.0","0","29.786899477396435","0.3145659739895433","0.22243173333855717",
"STD_4","EpC","2","1000.0","0","28.91467328370294","0.03299431804353401","0.02333050602920856",
"STD_4","GSX1","2","1000.0","0","30.288808372246486","0.11653594885736479","0.08240335968905134",
"STD_4","GYPC1","2","1000.0","0","28.957685354862264","0.12402478820187478","0.08769876877277097",
"STD_4","GYPC2","2","1000.0","0","28.9351566463666","0.1260215879368181","0.0891107194060209",
"STD_4","ImC","2","1000.0","0","31.243744380258562","0.08854765696308949","0.06261264869678078",
"STD_4","RALYL","2","1000.0","0","29.15854928076086","0.22042435004703947","0.15586355265689888",
"STD_4","ZSCAN12","2","1000.0","0","29.79000152601958","0.012177919248282584","0.008611089281202798",
"gBLOCK","COL2A1","2","-","0","24.48554405064084","0.09291206093300618","0.06569874833974637",
"gBLOCK","DPP6","2","-","0","24.521132230211304","0.3893828242544755","0.2753352355079093",
"gBLOCK","EpC","2","-","0","23.512830541184446","0.24568956560689376","0.1737287579074117",
"gBLOCK","GSX1","2","-","0","24.91405658252748","0.018545729592704153","0.013113811157053134",
"gBLOCK","GYPC1","2","-","0","23.641958582982603","0.16179109185678503","0.11440357818750829",
"gBLOCK","GYPC2","2","-","0","23.480441624268828","0.1650294165942509","0.11669341956905456",
"gBLOCK","ImC","2","-","0","25.32161712327434","0.5337398724938696","0.3774110832300584",
"gBLOCK","RALYL","2","-","0","23.731286012828217","0.04972563864963534","0.03516133628798902",
"gBLOCK","ZSCAN12","2","-","0","24.35277115670455","0.031309568497620684","0.02213920820069229",
