# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-12_BARCA_plate 4_A7-G12(1).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-12 03:47:11 PM CEST
# Run End Date/Time: 2021-08-12 04:56:45 PM CEST
# Run Duration: 69 minutes 34 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-13 11:33:57 AM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:31:06 PM CEST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","16000491011105","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"1","A1","false","16000491011105","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"2","A2","false","16000491011107","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"2","A2","false","16000491011107","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"3","A3","false","16000491011108","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"3","A3","false","16000491011108","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"4","A4","false","16000491011111","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"4","A4","false","16000491011111","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"5","A5","false","16000491011118","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"5","A5","false","16000491011118","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"6","A6","false","16000491011121","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"6","A6","false","16000491011121","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"7","A7","false","16000491011105","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.7095744619661424","","","35.594945917474426","0.9290460440966112","36.25573287047118","0.9344938707669236","true","0.03999999910593033","true","3","32"
"7","A7","false","16000491011105","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"8","A8","false","16000491011107","DPP6","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.5861846828538255","","","37.54704908886427","0.825762552021765","37.05493687949883","0.6959517606941628","true","0.03999999910593033","true","3","31"
"8","A8","false","16000491011107","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"9","A9","false","16000491011108","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.7491487831176499","","","33.50289481196029","0.930844521174528","33.32967025183377","0.2449765222669997","true","0.03999999910593033","true","3","30"
"9","A9","false","16000491011108","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"10","A10","false","16000491011111","DPP6","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"10","A10","false","16000491011111","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"11","A11","false","16000491011118","DPP6","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.6338804260956346","","","35.94011794373431","0.8807509194606397","36.31052319042138","0.5238321234391548","true","0.03999999910593033","true","3","31"
"11","A11","false","16000491011118","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.19884032869462395","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"12","A12","false","16000491011121","DPP6","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"12","A12","false","16000491011121","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"13","A13","false","16000491011105","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp","0.8003303482129938","","","35.51078689665081","0.9241631383326487","35.821298372732215","0.43912954074764277","true","0.03999999910593033","true","3","32"
"13","A13","false","16000491011105","GSX1","UNKNOWN","VIC","NFQ-MGB","Amp","0.6450239682290476","","","37.12236631722182","0.8103065964510606","36.22079004735772","1.2750213883554817","true","0.03999999910593033","true","3","33"
"14","A14","false","16000491011107","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp","0.8032532175093726","","","35.44581028129008","0.9054135407480238","35.06412156449953","0.5397893598897846","true","0.03999999910593033","true","3","32"
"14","A14","false","16000491011107","GSX1","UNKNOWN","VIC","NFQ-MGB","Amp","0.7758602439116068","","","35.47755378395203","0.9029919261009016","37.07433977480714","2.2581964044744818","true","0.03999999910593033","true","3","32"
"15","A15","false","16000491011108","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp","0.9374429770609443","","","32.39659252054699","0.9491531584901238","32.42276268255784","0.03701019804395578","true","0.03999999910593033","true","3","29"
"15","A15","false","16000491011108","GSX1","UNKNOWN","VIC","NFQ-MGB","Amp","0.7668946938210309","","","33.88397887151297","0.9279080516331203","33.70452513554826","0.253785907220041","true","0.03999999910593033","true","3","30"
"16","A16","false","16000491011111","RALYL","UNKNOWN","CY5","NFQ-MGB","Inconclusive","0.5826775749837982","","","37.93402002613298","0.6707819707206143","36.02023190496516","2.7065051164641756","true","0.03999999910593033","true","3","32"
"16","A16","false","16000491011111","GSX1","UNKNOWN","VIC","NFQ-MGB","Amp","0.6761867371516612","","","35.72672876109244","0.899237513631987","35.09888627418036","0.8879033600254698","true","0.03999999910593033","true","3","31"
"17","A17","false","16000491011118","RALYL","UNKNOWN","CY5","NFQ-MGB","Inconclusive","0.652885017805682","","","36.641257946623355","0.8390432809855031","36.38907100519866","0.3566461928163484","true","0.03999999910593033","true","3","32"
"17","A17","false","16000491011118","GSX1","UNKNOWN","VIC","NFQ-MGB","No Amp","0.5138477937206014","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"18","A18","false","16000491011121","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp","0.9225682496566212","","","34.719133074307024","0.9499833221314559","34.719133074307024","","true","0.03999999910593033","true","3","31"
"18","A18","false","16000491011121","GSX1","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
