# File Name: C:\Users\charl\Dropbox\eutops\data\raw_data\methylight\Barcelona_selfsamples\2021-08-17_BARCA_plate 1_A1-G6.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-17 11:56:33 AM CEST
# Run End Date/Time: 2021-08-17 01:06:09 PM CEST
# Run Duration: 69 minutes 36 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-10-27 04:16:41 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2022-10-27 04:17:53 PM CEST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","16000491010475","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","1.0065715184403758","","","32.29239334167477","0.9782598009383382","32.26004597338548","0.04574608694379837","false","0.04","false","3","20"
"1","A1","false","16000491010475","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","1.0538207475606876","","","29.79915772662126","0.9625897785465092","29.521344403306127","0.3928873696400742","false","0.04","false","3","20"
"2","A2","false","16000491010449","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","0.8886802974481827","","","36.871867448450075","0.9214312183572974","36.871867448450075","","false","0.04","false","3","20"
"2","A2","false","16000491010449","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"3","A3","false","16000491010574","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"3","A3","false","16000491010574","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"4","A4","false","16000491010565","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"4","A4","false","16000491010565","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","0.8972265596124139","","","33.70102076407589","0.9143220688165146","33.575968559659394","0.17685052349051322","false","0.04","false","3","20"
"5","A5","false","16000491010654","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"5","A5","false","16000491010654","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"6","A6","false","16000491010657","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"6","A6","false","16000491010657","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"7","A7","false","16000491010475","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.9545266303511539","","","30.121141294125493","0.95555654479093","30.23422124079044","0.15991919420548695","false","0.04","false","3","20"
"7","A7","false","16000491010475","GYPC2","UNKNOWN","CY5","NFQ-MGB","Amp","0.9524719495747627","","","29.943043451341943","0.8862796384485673","29.595163721397153","0.4919762321626241","false","0.04","false","3","20"
"8","A8","false","16000491010449","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.7933256176114785","","","32.76124693961468","0.8920115888902455","32.94451251722786","0.259176665377191","false","0.04","false","3","20"
"8","A8","false","16000491010449","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.17898983141807545","","","Undetermined","0.0","","","false","0.04","false","3","20"
"9","A9","false","16000491010574","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.8542501207171405","","","31.55319214530177","0.9439674681663134","31.590261768518484","0.052424363905072886","false","0.04","false","3","20"
