# File Name: C:\Users\charl\Dropbox\eutops\data\raw_data\methylight\Barcelona_selfsamples\2021-08-11_BARCA_plate 3_A7-G12(3).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 04:22:43 PM CEST
# Run End Date/Time: 2021-08-11 05:32:18 PM CEST
# Run Duration: 69 minutes 34 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-10-27 04:31:55 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2022-10-27 04:32:13 PM CEST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","16000491010519","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","1.0716786154064124","","","32.295139675040446","0.9662415418675857","32.2689977208881","0.036970306111571885","false","0.04","false","3","20"
"1","A1","false","16000491010519","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","0.9671832852535359","","","32.04365474379553","0.9490665377241235","32.018939287654476","0.034952933282173027","false","0.04","false","3","20"
"2","A2","false","16000491010521","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"2","A2","false","16000491010521","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","0.5545198179294509","","","40.57823056075745","0.7792932109689739","37.855871039075076","3.849997757218749","false","0.04","false","3","20"
"3","A3","false","16000491010560","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"3","A3","false","16000491010560","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"4","A4","false","16000491010594","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"4","A4","false","16000491010594","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"5","A5","false","16000491010595","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.5511661846955748","","","41.73069359276537","0.6081890075121864","41.73069359276537","","false","0.04","false","3","20"
"5","A5","false","16000491010595","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","0.9524859646604712","","","35.257882604290856","0.9339960376751261","35.257882604290856","","false","0.04","false","3","20"
"6","A6","false","16000491010613","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"6","A6","false","16000491010613","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"7","A7","false","16000491010519","Dpp6","UNKNOWN","VIC","NFQ-MGB","Amp","0.8389287284256032","","","33.209874273742685","0.9537096721896957","33.101856879087364","0.15275966449386422","false","0.04","false","3","20"
"7","A7","false","16000491010519","GYPC2","UNKNOWN","CY5","NFQ-MGB","Amp","0.7718561460209928","","","32.29385797195139","0.9129332149988856","32.0273198530932","0.37694182257906683","false","0.04","false","3","20"
"8","A8","false","16000491010521","Dpp6","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.7561890909876756","","","37.708655615194886","0.8941670320801993","37.708655615194886","","false","0.04","false","3","20"
"8","A8","false","16000491010521","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"9","A9","false","16000491010560","Dpp6","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"9","A9","false","16000491010560","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"10","A10","false","16000491010594","Dpp6","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"10","A10","false","16000491010594","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"11","A11","false","16000491010595","Dpp6","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"11","A11","false","16000491010595","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"12","A12","false","16000491010613","Dpp6","UNKNOWN","VIC","NFQ-MGB","Amp","0.6361135202933104","","","36.12166121432283","0.9053540169793681","36.32079849958701","0.28162264959460903","false","0.04","false","3","20"
