# File Name: C:\Users\charl\Dropbox\eutops\data\raw_data\methylight\Barcelona_selfsamples\2021-08-13_BARCA_plate 3_4_H1-12(1).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-13 11:22:39 AM CEST
# Run End Date/Time: 2021-08-13 12:32:10 PM CEST
# Run Duration: 69 minutes 31 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-10-27 04:33:26 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2022-10-27 04:33:36 PM CEST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","16000491011037","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"1","A1","false","16000491011037","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"2","A2","false","16000491011062","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"2","A2","false","16000491011062","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"3","A3","false","16000491010451","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"3","A3","false","16000491010451","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","1.0140761509040126","","","33.01833034176545","0.9560192324765945","33.088447170881494","0.09916017068512464","false","0.04","false","3","20"
"4","A4","false","16000491010520","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","0.9656541674348351","","","35.169469261010505","0.9635059959787833","35.169469261010505","","false","0.04","false","3","20"
"4","A4","false","16000491010520","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","0.8944964175481085","","","34.14201888140629","0.9455971876375961","33.68296717963364","0.6491971424772062","false","0.04","false","3","20"
"7","A7","false","16000491011037","DPP6","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.6198449080478655","","","37.096137616129866","0.8689112151185443","37.34609454554383","0.35349247958611507","false","0.04","false","3","20"
"7","A7","false","16000491011037","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"8","A8","false","16000491011062","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.7711903759232598","","","34.01005877100378","0.9222800473014041","33.51110899257989","0.705621543590357","false","0.04","false","3","20"
"8","A8","false","16000491011062","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"9","A9","false","16000491010451","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.7188496981894889","","","36.625825670787634","0.9075139243581549","36.17245558832036","0.6411621194000764","false","0.04","false","3","20"
"9","A9","false","16000491010451","GYPC2","UNKNOWN","CY5","NFQ-MGB","Amp","0.6607422885637037","","","35.31281014673999","0.8812386664247349","34.64730099030217","0.9411720749178272","false","0.04","false","3","20"
"10","A10","false","16000491010520","DPP6","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.6217191563567483","","","35.952668773829735","0.8767762496201008","35.44767206797063","0.7141731903795864","false","0.04","false","3","20"
