# File Name: C:\Users\charl\Dropbox\eutops\data\raw_data\methylight\Barcelona_selfsamples\2021-08-11_BARCA_plate 3_standards.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 06:23:43 PM CEST
# Run End Date/Time: 2021-08-11 07:33:08 PM CEST
# Run Duration: 69 minutes 25 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-10-27 04:34:55 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2022-10-27 04:35:14 PM CEST
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"1","A1","1","61697.93",,"124153.29","107813.7"
"1","A1","2","60952.91",,"122730.836","106539.21"
"1","A1","3","59665.56",,"120299.305","104495.24"
"1","A1","4","58901.453",,"118798.95","102966.69"
"1","A1","5","57948.48",,"117696.93","101942.52"
"1","A1","6","57581.28",,"117098.945","101150.586"
"1","A1","7","57349.598",,"116436.06","100532.39"
"1","A1","8","56714.29",,"115280.5","99343.35"
"1","A1","9","55768.688",,"113854.76","97834.66"
"1","A1","10","55371.066",,"113101.13","97184.58"
"1","A1","11","55036.586",,"112681.73","96991.29"
"1","A1","12","54974.1",,"112580.78","96737.75"
"1","A1","13","55058.902",,"112602.805","96718.04"
"1","A1","14","55238.707",,"112716.32","96943.84"
"1","A1","15","55527.15",,"112726.1","97266.42"
"1","A1","16","55665.34",,"112789.45","97718.12"
"1","A1","17","56343.344",,"112930.96","98612.555"
"1","A1","18","57356.23",,"113030.63","99784.914"
"1","A1","19","59034.062",,"113017.57","102185.75"
"1","A1","20","62535.633",,"113101.97","107532.37"
"1","A1","21","68475.836",,"113248.03","115375.32"
"1","A1","22","76895.266",,"113633.305","126212.68"
"1","A1","23","88645.57",,"114302.12","138227.84"
"1","A1","24","102510.37",,"114846.414","149131.89"
"1","A1","25","115832.195",,"115562.04","158522.55"
"1","A1","26","128092.53",,"116111.96","165523.72"
"1","A1","27","137760.73",,"116735.9","170552.14"
"1","A1","28","145514.0",,"117238.82","173611.16"
"1","A1","29","151445.67",,"117645.71","176066.88"
"1","A1","30","156017.75",,"117676.35","176967.72"
"1","A1","31","159599.27",,"117631.75","177325.92"
"1","A1","32","162203.14",,"117941.79","177245.38"
"1","A1","33","164217.34",,"118180.94","176870.8"
"1","A1","34","165452.7",,"118145.51","176405.22"
"1","A1","35","166520.05",,"118004.25","176106.11"
"1","A1","36","167285.08",,"117938.85","175623.75"
"1","A1","37","167778.12",,"118081.71","175191.58"
"1","A1","38","168636.73",,"118157.03","175122.17"
"1","A1","39","169162.72",,"118153.77","175157.62"
"1","A1","40","169301.89",,"118180.93","175108.33"
"1","A1","41","169803.6",,"118106.32","174932.53"
"1","A1","42","170077.42",,"118027.164","175176.97"
"1","A1","43","170456.45",,"118186.01","175205.45"
"1","A1","44","171100.5",,"118191.61","175176.97"
"1","A1","45","171227.86",,"118412.695","175417.48"
"2","A2","1","64354.766",,"129682.09","114333.08"
"2","A2","2","63785.78",,"128361.08","113099.56"
"2","A2","3","62543.51",,"125893.44","110403.445"
"2","A2","4","61526.586",,"123835.44","108407.26"
"2","A2","5","60480.44",,"122422.21","107001.58"
"2","A2","6","60019.92",,"121345.66","105823.5"
"2","A2","7","59605.344",,"120296.805","104769.44"
"2","A2","8","58742.16",,"119384.89","103925.98"
"2","A2","9","58180.59",,"118259.914","103214.91"
"2","A2","10","57357.293",,"117311.516","101750.65"
"2","A2","11","56821.71",,"115997.305","100366.03"
"2","A2","12","56164.06",,"115362.16","99541.13"
"2","A2","13","55966.66",,"114962.78","99277.375"
"2","A2","14","55894.71",,"114834.75","99293.15"
"2","A2","15","55689.312",,"114819.94","99492.586"
"2","A2","16","55751.97",,"114757.03","99530.01"
"2","A2","17","56231.266",,"114681.805","99473.2"
"2","A2","18","56403.586",,"114623.36","99495.56"
"2","A2","19","56504.203",,"114571.27","99831.49"
"2","A2","20","56929.082",,"114562.39","100254.98"
"2","A2","21","57665.17",,"114619.914","101040.49"
"2","A2","22","59022.734",,"114485.09","103096.24"
"2","A2","23","61374.195",,"114482.93","107129.16"
