# File Name: C:\Users\charl\Dropbox\eutops\data\raw_data\methylight\Barcelona_selfsamples\2021-08-11_BARCA_plate 3_standards.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 06:23:43 PM CEST
# Run End Date/Time: 2021-08-11 07:33:08 PM CEST
# Run Duration: 69 minutes 25 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-10-27 04:34:55 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2022-10-27 04:35:14 PM CEST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","STD_1","1000000.0","ZSCAN12","VIC","STANDARD","VIC","NFQ-MGB","Amp","19.96766087827266","20.01521106199213","0.9848774250750372","0.06724611471003207","","","false","0.04","false","3","20","","","","","38.9412","0.9937404737159673","-3.2017","105.2733691718443","0.32805094128856244","0.10373881630340308","false"
"1","A1","STD_1","1000000.0","GYPC1","CY5","STANDARD","CY5","NFQ-MGB","Amp","19.608673098883557","19.57728659665698","0.9802683419382144","0.04438721712422636","","","false","0.04","false","3","20","","","","","37.6828","0.9955166154859035","-3.0582","112.3203318882815","0.26495159387228717","0.08378505063283383","false"
"2","A2","STD_2","100000.0","ZSCAN12","VIC","STANDARD","VIC","NFQ-MGB","Amp","22.698896500797368","22.610222797153327","0.9806300251464234","0.12540355431960645","","","false","0.04","false","3","20","","","","","38.9412","0.9937404737159673","-3.2017","105.2733691718443","0.32805094128856244","0.10373881630340308","false"
"2","A2","STD_2","100000.0","GYPC1","CY5","STANDARD","CY5","NFQ-MGB","Amp","22.178129736521512","22.082445544616128","0.9692911245006143","0.13531788189741478","","","false","0.04","false","3","20","","","","","37.6828","0.9955166154859035","-3.0582","112.3203318882815","0.26495159387228717","0.08378505063283383","false"
"3","A3","STD_3","10000.0","ZSCAN12","VIC","STANDARD","VIC","NFQ-MGB","Amp","25.938766241126878","25.926349902531545","0.9727738000859021","0.017559354429037586","","","false","0.04","false","3","20","","","","","38.9412","0.9937404737159673","-3.2017","105.2733691718443","0.32805094128856244","0.10373881630340308","false"
"3","A3","STD_3","10000.0","GYPC1","CY5","STANDARD","CY5","NFQ-MGB","Amp","25.330239261922543","25.338325992587485","0.9731650323799459","0.011436364177523166","","","false","0.04","false","3","20","","","","","37.6828","0.9955166154859035","-3.0582","112.3203318882815","0.26495159387228717","0.08378505063283383","false"
"4","A4","STD_4","1000.0","ZSCAN12","VIC","STANDARD","VIC","NFQ-MGB","Amp","29.42746932935676","29.582218650850514","0.9791848064915927","0.2188485892244835","","","false","0.04","false","3","20","","","","","38.9412","0.9937404737159673","-3.2017","105.2733691718443","0.32805094128856244","0.10373881630340308","false"
"4","A4","STD_4","1000.0","GYPC1","CY5","STANDARD","CY5","NFQ-MGB","Amp","28.65061084617217","28.685935381884146","0.963200749961594","0.04995643748911962","","","false","0.04","false","3","20","","","","","37.6828","0.9955166154859035","-3.0582","112.3203318882815","0.26495159387228717","0.08378505063283383","false"
"5","A5","gBLOCK","","ZSCAN12","VIC","POSITIVE_CONTROL","VIC","NFQ-MGB","Amp","24.274029377478","24.26706983086909","0.9828755325406088","0.009842285206729282","","","false","0.04","false","3","20","","","","","38.9412","0.9937404737159673","-3.2017","105.2733691718443","0.32805094128856244","0.10373881630340308","false"
"5","A5","gBLOCK","","GYPC1","CY5","POSITIVE_CONTROL","CY5","NFQ-MGB","Amp","23.527555004795055","23.59871581503116","0.9684685096228636","0.10063658294500985","","","false","0.04","false","3","20","","","","","37.6828","0.9955166154859035","-3.0582","112.3203318882815","0.26495159387228717","0.08378505063283383","false"
