# File Name: /Users/chiara/Dropbox/eutops/data/raw_data/methylight/Barcelona_selfsamples/2021-08-17_BARCA_plate 1_A1-G6.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-17 11:56:33 AM CEST
# Run End Date/Time: 2021-08-17 01:06:09 PM CEST
# Run Duration: 69 minutes 36 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 03:32:54 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-11-16 03:42:15 PM CET
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"1","A1","1","56089.395",,"121144.53","93961.77"
"1","A1","2","55847.375",,"120979.055","93862.72"
"1","A1","3","55545.81",,"120213.945","93567.875"
"1","A1","4","55165.848",,"119472.695","93185.6"
"1","A1","5","54521.242",,"118519.164","92199.36"
"1","A1","6","53899.61",,"117417.28","91208.25"
"1","A1","7","53713.98",,"117035.03","90965.99"
"1","A1","8","53683.523",,"116838.484","90907.93"
"1","A1","9","53614.234",,"116559.125","90651.664"
"1","A1","10","53577.98",,"116443.984","90709.37"
"1","A1","11","53609.895",,"116541.67","91157.74"
"1","A1","12","53432.17",,"116213.15","91046.03"
"1","A1","13","53178.023",,"115797.69","90930.32"
"1","A1","14","53131.406",,"115594.79","90884.61"
"1","A1","15","53167.125",,"115517.414","90900.12"
"1","A1","16","53214.965",,"115520.586","90897.125"
"1","A1","17","53418.473",,"115248.66","91006.4"
"1","A1","18","53443.66",,"115115.04","91045.34"
"1","A1","19","53522.113",,"115045.64","91231.36"
"1","A1","20","53658.227",,"114990.96","91358.52"
"1","A1","21","53794.465",,"114968.88","91385.83"
"1","A1","22","53713.055",,"114942.81","91286.24"
"1","A1","23","53632.46",,"114972.445","91186.91"
"1","A1","24","53644.8",,"114952.21","91157.484"
"1","A1","25","53710.844",,"114959.3","91395.164"
"1","A1","26","53821.99",,"114916.6","91971.9"
"1","A1","27","53930.375",,"114910.09","92452.414"
"1","A1","28","53843.574",,"115058.625","93083.68"
"1","A1","29","53897.234",,"115121.58","94538.016"
"1","A1","30","54585.266",,"114994.53","97535.805"
"1","A1","31","55582.004",,"114777.125","102545.59"
"1","A1","32","57585.98",,"114787.93","109599.48"
"1","A1","33","60293.566",,"115066.48","117974.67"
"1","A1","34","64718.797",,"115312.96","125993.87"
"1","A1","35","70810.96",,"115677.76","132993.19"
