# File Name: /Users/chiara/Dropbox/eutops/data/raw_data/methylight/Barcelona_selfsamples/2021-08-17_BARCA_plate 1_A1-G6.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-17 11:56:33 AM CEST
# Run End Date/Time: 2021-08-17 01:06:09 PM CEST
# Run Duration: 69 minutes 36 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 03:32:54 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-11-16 03:42:15 PM CET
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"16000491010312","COL2A1","2","-","0","28.11453189726908","0.13844381964309493","0.09789456368299977",
"16000491010312","DPP6","2","-","0","39.77452770262437","","",
"16000491010312","EpC","2","-","0","31.011658799783433","0.39834019637677975","0.28166905407720194",
"16000491010312","GSX1","2","-","0","","","",
"16000491010312","GYPC1","2","-","0","","","",
"16000491010312","GYPC2","2","-","0","","","",
"16000491010312","ImC","2","-","0","28.42590451680449","0.08688569793503563","0.0614374661979897",
"16000491010312","RALYL","2","-","0","36.85178458086156","","",
"16000491010312","ZSCAN12","2","-","0","37.13427224573306","","",
"16000491010374","COL2A1","2","-","0","30.362068990721262","0.06892902857434459","0.048740183525520356",
"16000491010374","DPP6","2","-","0","","","",
"16000491010374","EpC","2","-","0","28.44980048913037","0.051398795808989546","0.0363444370613592",
"16000491010374","GSX1","2","-","0","","","",
"16000491010374","GYPC1","2","-","0","","","",
"16000491010374","GYPC2","2","-","0","","","",
"16000491010374","ImC","2","-","0","30.438138751924157","0.13877465677561235","0.09812850086287114",
"16000491010374","RALYL","2","-","0","37.946974486347855","","",
"16000491010374","ZSCAN12","2","-","0","","","",
"16000491010449","COL2A1","2","-","0","26.46465342156003","0.19185957490603078","0.13566520645162272",
"16000491010449","DPP6","2","-","0","32.98887026828537","0.13809698232844947","0.09764931266584544",
"16000491010449","EpC","2","-","0","25.403719358888114","0.07122603727034084","0.050364413950903776",
"16000491010449","GSX1","2","-","0","33.79969430359579","0.11620905436419245","0.08217221037619662",
"16000491010449","GYPC1","2","-","0","","","",
"16000491010449","GYPC2","2","-","0","","","",
"16000491010449","ImC","2","-","0","27.422934523648088","0.15011801234597544","0.10614946450808509",
"16000491010449","RALYL","2","-","0","33.116419889975674","0.12320640438827832","0.0871200840285636",
"16000491010449","ZSCAN12","2","-","0","36.86600224979935","","",
"16000491010475","COL2A1","2","-","0","26.107906907081222","0.10071743341926878","0.07121798015446955",
"16000491010475","DPP6","2","-","0","30.382951436338253","0.09652931072109713","0.06825653019415108",
"16000491010475","EpC","2","-","0","27.14394683209131","0.11850465097871943","0.08379544230919754",
"16000491010475","GSX1","2","-","0","","","",
"16000491010475","GYPC1","2","-","0","29.56814392771809","0.33989979174921886","0.24034544766976795",
"16000491010475","GYPC2","2","-","0","29.647218777480536","0.4811265269635744","0.34020782982467573",
"16000491010475","ImC","2","-","0","26.3275451675596","0.1581368859697005","0.11181966442489902",
"16000491010475","RALYL","2","-","0","38.20580783386949","","",
"16000491010475","ZSCAN12","2","-","0","32.3515110131501","0.1324844266559626","0.09368063649004295",
"16000491010565","COL2A1","2","-","0","25.494579979737672","0.017166301825851348","0.012138408428954498",
"16000491010565","DPP6","2","-","0","37.6041824652069","0.38427551288438677","0.2717238210044884",
