# File Name: /Users/chiara/Dropbox/eutops/data/raw_data/methylight/Barcelona_selfsamples/2021-08-17_BARCA_plate 1_A1-G6.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-17 11:56:33 AM CEST
# Run End Date/Time: 2021-08-17 01:06:09 PM CEST
# Run Duration: 69 minutes 36 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 03:32:54 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-11-16 03:42:15 PM CET
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","16000491010475","286.84049058291765","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","32.445191649639455","32.3515110131501","0.9782598009383382","0.1324844266559626","306.1126358481938","27.25492921017792","true","0.03999999910593033","true","3","29","","","","","40.8545","0.9984807066120834","-3.4217","95.99672459063335","0.17231480900737187","0.05449072710401923","false"
"1","A1","16000491010475","1111.4412215697412","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","29.808489375387893","29.56814392771809","0.9625897785465092","0.33989979174921886","1324.3158129698375","301.0501342426472","true","0.03999999910593033","true","3","27","","","","","40.2041","0.997195235833415","-3.413","96.33461990123793","0.23367887214447716","0.07389574770358223","false"
"2","A2","16000491010449","14.643604698599463","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","36.86600224979935","36.86600224979935","0.9214312183572974","","","","true","0.03999999910593033","true","3","34","","","","","40.8545","0.9984807066120834","-3.4217","95.99672459063335","0.17231480900737187","0.05449072710401923","false"
"2","A2","16000491010449","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","40.2041","0.997195235833415","-3.413","96.33461990123793","0.23367887214447716","0.07389574770358223","false"
"3","A3","16000491010574","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","40.8545","0.9984807066120834","-3.4217","95.99672459063335","0.17231480900737187","0.05449072710401923","false"
"3","A3","16000491010574","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","40.2041","0.997195235833415","-3.413","96.33461990123793","0.23367887214447716","0.07389574770358223","false"
"4","A4","16000491010565","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","40.8545","0.9984807066120834","-3.4217","95.99672459063335","0.17231480900737187","0.05449072710401923","false"
"4","A4","16000491010565","75.12884328809952","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","33.80197172494701","33.60959824014836","0.9143220688165146","0.2720571912425634","86.26190907708315","15.74453262957258","true","0.03999999910593033","true","3","30","","","","","40.2041","0.997195235833415","-3.413","96.33461990123793","0.23367887214447716","0.07389574770358223","false"
"5","A5","16000491010654","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","40.8545","0.9984807066120834","-3.4217","95.99672459063335","0.17231480900737187","0.05449072710401923","false"
"5","A5","16000491010654","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","40.2041","0.997195235833415","-3.413","96.33461990123793","0.23367887214447716","0.07389574770358223","false"
