# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-17_BARCA_plate 1_A7-G12.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-17 03:24:04 PM CEST
# Run End Date/Time: 2021-08-17 04:35:10 PM CEST
# Run Duration: 71 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 02:51:29 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:32:21 PM CEST
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"1","A1","1","53272.684",,"118208.04","92376.66"
"1","A1","2","53303.3",,"118204.08","92398.34"
"1","A1","3","53682.0",,"118408.1","92681.22"
"1","A1","4","54023.934",,"118478.555","92938.23"
"1","A1","5","54376.613",,"118676.31","93190.28"
"1","A1","6","54209.723",,"118837.79","93510.43"
"1","A1","7","54169.383",,"118873.59","93678.89"
"1","A1","8","54550.867",,"118796.39","93897.9"
"1","A1","9","54733.73",,"118731.08","93969.18"
"1","A1","10","54829.816",,"118835.56","94081.09"
"1","A1","11","54527.066",,"118899.36","93899.54"
"1","A1","12","54379.266",,"118959.59","93887.07"
"1","A1","13","54562.875",,"118834.3","94389.36"
"1","A1","14","55039.996",,"118701.96","94431.3"
"1","A1","15","55009.977",,"118611.12","94390.375"
"1","A1","16","54903.176",,"118671.03","94284.32"
"1","A1","17","55038.895",,"118893.27","94308.695"
"1","A1","18","55173.99",,"118844.06","94491.82"
"1","A1","19","55041.035",,"118716.43","94868.83"
"1","A1","20","54912.34",,"118604.12","95006.234"
"1","A1","21","55013.22",,"118509.09","95277.19"
"1","A1","22","55321.92",,"118471.8","95235.836"
"1","A1","23","55428.46",,"118633.76","95116.92"
"1","A1","24","55268.625",,"118663.086","95030.1"
"1","A1","25","55127.566",,"118633.29","95273.23"
"1","A1","26","55118.527",,"118729.21","95416.38"
"1","A1","27","55018.613",,"118504.586","95447.13"
"1","A1","28","55054.797",,"118411.36","95330.96"
"1","A1","29","55274.637",,"118519.7","95385.51"
"1","A1","30","55246.926",,"118491.97","95460.97"
"1","A1","31","55341.47",,"118371.695","95395.3"
"1","A1","32","55696.496",,"118311.27","95586.92"
"1","A1","33","55834.402",,"118334.94","95667.18"
"1","A1","34","55912.266",,"118140.69","95764.53"
"1","A1","35","55773.895",,"118084.414","95733.23"
"1","A1","36","55696.062",,"118196.05","95779.7"
"1","A1","37","55972.66",,"118108.945","95903.8"
"1","A1","38","55907.355",,"117982.766","96171.29"
"1","A1","39","55847.496",,"117960.43","96151.46"
"1","A1","40","55971.75",,"118067.54","96369.24"
"1","A1","41","56182.09",,"118026.67","96742.805"
"1","A1","42","56259.297",,"117892.49","96728.664"
"1","A1","43","56369.11",,"117838.67","96751.46"
"1","A1","44","56573.137",,"117807.27","96839.26"
"1","A1","45","56648.27",,"117798.02","96894.68"
"2","A2","1","54569.914",,"119588.51","94594.15"
"2","A2","2","54598.703",,"119468.38","94612.86"
"2","A2","3","54494.34",,"119356.445","94786.6"
"2","A2","4","54210.316",,"119571.75","94681.89"
"2","A2","5","54165.742",,"119560.6","94696.39"
"2","A2","6","54335.652",,"119410.016","94972.13"
"2","A2","7","54629.008",,"118990.52","94981.13"
"2","A2","8","54641.97",,"118799.555","94919.46"
"2","A2","9","54637.94",,"118796.4","94870.08"
"2","A2","10","54636.723",,"118724.766","94870.805"
"2","A2","11","54594.438",,"118722.195","94890.234"
"2","A2","12","54686.75",,"118458.88","95116.38"
"2","A2","13","54960.688",,"118358.84","95180.22"
"2","A2","14","55039.96",,"118540.84","95169.7"
"2","A2","15","55054.406",,"118509.06","95268.45"
"2","A2","16","55314.004",,"118485.84","95001.695"
"2","A2","17","55105.71",,"118375.95","94968.734"
"2","A2","18","54739.613",,"118277.55","95298.04"
"2","A2","19","54656.707",,"118281.59","95336.016"
"2","A2","20","54913.08",,"118251.91","95388.4"
"2","A2","21","55308.316",,"118269.15","95365.734"
"2","A2","22","55516.324",,"118272.58","95492.945"
"2","A2","23","55381.277",,"118048.06","95629.375"
"2","A2","24","55019.258",,"117961.44","95693.305"
"2","A2","25","54953.97",,"118095.57","95906.89"
"2","A2","26","55260.25",,"117983.55","95989.5"
"2","A2","27","55277.383",,"117653.45","96001.96"
"2","A2","28","55341.72",,"117583.93","96239.97"
"2","A2","29","55357.797",,"117784.13","96170.96"
"2","A2","30","55316.117",,"117749.64","96060.29"
"2","A2","31","55445.242",,"117661.91","96146.72"
"2","A2","32","55463.418",,"117606.484","96270.21"
"2","A2","33","55711.168",,"117545.77","96182.06"
"2","A2","34","55722.652",,"117522.55","96118.94"
"2","A2","35","55634.1",,"117469.16","96200.516"
"2","A2","36","55668.39",,"117486.2","96346.55"
"2","A2","37","55558.543",,"117586.79","96490.086"
"2","A2","38","55521.215",,"117298.49","96754.75"
"2","A2","39","55890.1",,"117258.016","96633.164"
"2","A2","40","56146.926",,"117467.46","96483.695"
"2","A2","41","56121.457",,"117322.05","96535.09"
"2","A2","42","56232.266",,"117148.41","96724.54"
"2","A2","43","56191.64",,"117127.695","96728.94"
"2","A2","44","56301.56",,"117214.445","96896.28"
"2","A2","45","56299.16",,"117357.57","97469.414"
"3","A3","1","59714.08",,"124867.96","100189.02"
"3","A3","2","59450.516",,"124670.99","100044.664"
"3","A3","3","58936.336",,"123860.23","99492.73"
"3","A3","4","58710.7",,"122714.33","98481.664"
"3","A3","5","58417.105",,"121849.69","97369.0"
"3","A3","6","58264.883",,"121644.805","97148.38"
"3","A3","7","58210.023",,"121681.6","97275.73"
"3","A3","8","58157.79",,"121624.99","97597.82"
"3","A3","9","58184.773",,"121559.38","97776.03"
"3","A3","10","58391.066",,"121549.59","97833.805"
"3","A3","11","58585.438",,"121767.67","97804.516"
"3","A3","12","58562.582",,"121828.64","97811.59"
