# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-18_BARCA_plate 2_W_all samples.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-18 12:46:17 PM CEST
# Run End Date/Time: 2021-08-18 01:55:50 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 10:46:45 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:33:12 PM CEST
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","ZSCAN12","0.44035154581069946","-6.787334122302276E-4","16000491010125","false"
"1","A1","2","ZSCAN12","0.4409012198448181","-7.53540828310186E-4","16000491010125","false"
"1","A1","3","ZSCAN12","0.4400942027568817","-0.0021850393664452536","16000491010125","false"
"1","A1","4","ZSCAN12","0.4430008828639984","9.7159290472835E-5","16000491010125","false"
"1","A1","5","ZSCAN12","0.4445580244064331","0.0010298193827089166","16000491010125","false"
"1","A1","6","ZSCAN12","0.44498103857040405","8.283520964812533E-4","16000491010125","false"
"1","A1","7","ZSCAN12","0.44712817668914795","0.002351008765026539","16000491010125","false"
"1","A1","8","ZSCAN12","0.4470501244068146","0.0016484750324944988","16000491010125","false"
"1","A1","9","ZSCAN12","0.4454328715801239","-5.932592443947856E-4","16000491010125","false"
"1","A1","10","ZSCAN12","0.44578486680984497","-8.65745464872327E-4","16000491010125","false"
"1","A1","11","ZSCAN12","0.4480876326560974","8.125389311815038E-4","16000491010125","false"
"1","A1","12","ZSCAN12","0.44895756244659424","0.0010579872714797192","16000491010125","false"
"1","A1","13","ZSCAN12","0.4506792724132538","0.002155215787940599","16000491010125","false"
"1","A1","14","ZSCAN12","0.45053353905677795","0.0013850009812661581","16000491010125","false"
"1","A1","15","ZSCAN12","0.4468383491039276","-0.0029346704217827944","16000491010125","false"
"1","A1","16","ZSCAN12","0.4465019404888153","-0.0038955604870937097","16000491010125","false"
"1","A1","17","ZSCAN12","0.44980108737945557","-0.0012208950466521171","16000491010125","false"
"1","A1","18","ZSCAN12","0.4523089826107025","6.625187343962206E-4","16000491010125","false"
"1","A1","19","ZSCAN12","0.4536284804344177","0.0013575351079128197","16000491010125","false"
"1","A1","20","ZSCAN12","0.4533275067806244","4.320800039208742E-4","16000491010125","false"
"1","A1","21","ZSCAN12","0.4533842206001282","-1.356876267739523E-4","16000491010125","false"
"1","A1","22","ZSCAN12","0.4530411958694458","-0.0011031938076549916","16000491010125","false"
"1","A1","23","ZSCAN12","0.4528762698173523","-0.0018926013099471082","16000491010125","false"
"1","A1","24","ZSCAN12","0.45398804545402527","-0.0014053071234727452","16000491010125","false"
"1","A1","25","ZSCAN12","0.4542766809463501","-0.0017411530813465268","16000491010125","false"
"1","A1","26","ZSCAN12","0.45505449175834656","-0.0015878237195486775","16000491010125","false"
"1","A1","27","ZSCAN12","0.4556443989276886","-0.0016223980004053027","16000491010125","false"
"1","A1","28","ZSCAN12","0.4589358866214752","0.0010446082431827077","16000491010125","false"
"1","A1","29","ZSCAN12","0.4602110683917999","0.001695308563308804","16000491010125","false"
"1","A1","30","ZSCAN12","0.45960649847984314","4.662572011534064E-4","16000491010125","false"
"1","A1","31","ZSCAN12","0.4601728022098541","4.0807948096572655E-4","16000491010125","false"
"1","A1","32","ZSCAN12","0.4641405940055847","0.0037513898264977066","16000491010125","false"
"1","A1","33","ZSCAN12","0.4669305384159088","0.005916852786623193","16000491010125","false"
"1","A1","34","ZSCAN12","0.47038012742996216","0.008741960350477926","16000491010125","false"
"1","A1","35","ZSCAN12","0.47925376892089844","0.016991120391215597","16000491010125","false"
"1","A1","36","ZSCAN12","0.483991801738739","0.021104671758857507","16000491010125","false"
