# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-18_BARCA_plate 2_W_all samples.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-18 12:46:17 PM CEST
# Run End Date/Time: 2021-08-18 01:55:50 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 10:46:45 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:33:12 PM CEST
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"1","A1","1","52525.207",,"119280.17","88097.35"
"1","A1","2","52560.656",,"119211.87","88321.445"
"1","A1","3","52384.125",,"119029.34","88403.0"
"1","A1","4","52324.465",,"118113.68","87623.43"
"1","A1","5","52362.848",,"117786.305","87452.33"
"1","A1","6","52402.29",,"117762.97","87586.766"
"1","A1","7","52624.37",,"117694.15","87655.195"
"1","A1","8","52643.11",,"117756.62","87843.33"
"1","A1","9","52394.348",,"117625.69","87600.08"
"1","A1","10","52386.395",,"117514.97","87561.26"
"1","A1","11","52677.66",,"117561.07","87828.34"
"1","A1","12","52724.043",,"117436.586","87993.06"
"1","A1","13","52818.668",,"117197.91","87990.95"
"1","A1","14","52748.336",,"117079.71","88062.37"
"1","A1","15","52334.95",,"117122.78","88137.45"
"1","A1","16","52292.89",,"117116.83","88118.96"
"1","A1","17","52582.344",,"116901.33","88056.29"
"1","A1","18","52829.664",,"116799.945","88105.1"
"1","A1","19","53014.75",,"116868.21","88247.16"
"1","A1","20","52987.82",,"116886.4","88320.89"
"1","A1","21","52970.08",,"116832.65","88438.02"
"1","A1","22","52892.64",,"116750.18","88403.64"
