# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-18_BARCA_plate 2_W_all samples.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-18 12:46:17 PM CEST
# Run End Date/Time: 2021-08-18 01:55:50 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 10:46:45 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:33:12 PM CEST
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"16000491010054","COL2A1","2","-","0","30.039125833205976","0.06887849563171482","0.04870445133911354",
"16000491010054","DPP6","2","-","0","","","",
"16000491010054","EpC","2","-","0","29.487452477462252","0.057163783731269416","0.040420899114661846",
"16000491010054","GSX1","2","-","0","36.037101766197715","","",
"16000491010054","GYPC1","2","-","0","35.936567722802295","","",
"16000491010054","GYPC2","2","-","0","","","",
"16000491010054","ImC","2","-","0","31.051291021561376","0.020892341448231665","0.014773116312909385",
"16000491010054","RALYL","2","-","0","","","",
"16000491010054","ZSCAN12","2","-","0","","","",
"16000491010079","COL2A1","2","-","0","28.759933640200238","0.15746958082315157","0.11134780843065359",
"16000491010079","DPP6","2","-","0","35.02356376519855","0.4060063073274707","0.2870898131157639",
"16000491010079","EpC","2","-","0","30.215776377933423","0.1515100383334019","0.10713377552338224",
"16000491010079","GSX1","2","-","0","","","",
"16000491010079","GYPC1","2","-","0","33.42824864731577","0.6935167327034624","0.4903903845609565",
"16000491010079","GYPC2","2","-","0","34.59582053694744","0.7959317750146155","0.5628087554746801",
"16000491010079","ImC","2","-","0","29.384722306791907","0.06189759777179009","0.043768211123590105",
"16000491010079","RALYL","2","-","0","","","",
"16000491010079","ZSCAN12","2","-","0","35.71733537205518","0.32707946386998044","0.23128010688932352",
"16000491010080","COL2A1","2","-","0","27.110961659098695","0.19171587100559956","0.13556359244914484",
"16000491010080","DPP6","2","-","0","30.666494708087704","0.005987617537881224","0.004233884964187313",
"16000491010080","EpC","2","-","0","27.359036806358247","0.012402294166507009","0.008769746307407466",
"16000491010080","GSX1","2","-","0","34.448599032245966","0.2339601017446454","0.16543477447073338",
"16000491010080","GYPC1","2","-","0","29.86646250055602","0.3041396111155867","0.2150591814472708",
"16000491010080","GYPC2","2","-","0","29.13079312997598","0.03990601078540021","0.028217810836459988",
"16000491010080","ImC","2","-","0","27.805415498687015","0.12946687060206424","0.0915469021417209",
"16000491010080","RALYL","2","-","0","28.82253136511698","0.002285950473302438","0.0016164110811287518",
"16000491010080","ZSCAN12","2","-","0","30.693351490780916","0.14569856312900076","0.10302444199765272",
"16000491010089","COL2A1","2","-","0","29.621199805348734","0.27017932691944613","0.19104563420115747",
"16000491010089","DPP6","2","-","0","","","",
"16000491010089","EpC","2","-","0","28.819854673717856","0.08443162484287335","0.059702174472994314",
"16000491010089","GSX1","2","-","0","","","",
"16000491010089","GYPC1","2","-","0","37.82087551113963","","",
"16000491010089","GYPC2","2","-","0","","","",
"16000491010089","ImC","2","-","0","31.206920249523687","0.06906061174730754","0.04883322687941251",
