# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-18_BARCA_plate 2_W_all samples.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-18 12:46:17 PM CEST
# Run End Date/Time: 2021-08-18 01:55:50 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 10:46:45 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:33:12 PM CEST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","16000491010125","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.5641586703417921","","","39.1228774299611","0.6441812090734619","37.481468509868236","2.3213027561953683","true","0.03999999910593033","true","3","32"
"1","A1","false","16000491010125","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"2","A2","false","16000491010154","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","1.0172523139225609","","","35.52874882498341","0.9536541343633238","35.51455857291781","0.02006804693219855","true","0.03999999910593033","true","3","32"
"2","A2","false","16000491010154","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","1.0266035940387386","","","34.052125579965576","0.9467298582653244","33.89064919408882","0.22836209491017523","true","0.03999999910593033","true","3","31"
"3","A3","false","16000491010157","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","1.0519377379119623","","","34.92301515279354","0.9530408601089783","34.63371172535474","0.4091368307251976","true","0.03999999910593033","true","3","31"
"3","A3","false","16000491010157","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","1.0203364342555723","","","33.57122891687506","0.9371687945606982","33.93452897736218","0.5137838727519084","true","0.03999999910593033","true","3","31"
"4","A4","false","16000491010171","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","1.1029124267324162","","","32.99810321750047","0.9731600595334156","32.522490815190764","0.6726175097793309","true","0.03999999910593033","true","3","30"
"4","A4","false","16000491010171","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","1.0404024708290915","","","33.004855830022336","0.9562912605650996","33.34762319215752","0.4847462522703764","true","0.03999999910593033","true","3","30"
"5","A5","false","16000491010585","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","0.9845431857067195","","","33.10739950080762","0.9516922295487394","33.369089398968946","0.3700854031158026","true","0.03999999910593033","true","3","30"
"5","A5","false","16000491010585","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","0.9345170187390014","","","31.490553843424046","0.9477106036100957","31.69355866521315","0.2870921722011631","true","0.03999999910593033","true","3","28"
"6","A6","false","16000491010090","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"6","A6","false","16000491010090","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"7","A7","false","16000491010125","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.8415842819020507","","","33.94987043242358","0.9168688698758662","33.80561091915499","0.2040137601650707","true","0.03999999910593033","true","3","31"
"7","A7","false","16000491010125","GYPC2","UNKNOWN","CY5","NFQ-MGB","Inconclusive","0.6215809347529583","","","36.1740312916722","0.5493769954444675","37.7324678019577","2.203962048943081","true","0.03999999910593033","true","3","31"
"8","A8","false","16000491010154","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.8411636979061423","","","34.02093740794287","0.940481098653307","34.301368217238306","0.3965890538141616","true","0.03999999910593033","true","3","31"
"8","A8","false","16000491010154","GYPC2","UNKNOWN","CY5","NFQ-MGB","Inconclusive","0.6665327090039851","","","35.07621187489191","0.5539389334652444","34.25077004912371","1.1673510249515662","true","0.03999999910593033","true","3","30"
"9","A9","false","16000491010157","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.7399158697941238","","","34.794157139760195","0.8723218672298518","34.523866353985696","0.3822488950260263","true","0.03999999910593033","true","3","31"
"9","A9","false","16000491010157","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.4925285453622018","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"10","A10","false","16000491010171","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.9900470996681726","","","31.899080051639935","0.9839449479810904","31.810740343869206","0.12493121282556936","true","0.03999999910593033","true","3","29"
"10","A10","false","16000491010171","GYPC2","UNKNOWN","CY5","NFQ-MGB","Amp","0.8001796322014133","","","32.96031529130593","0.9072667244755918","32.99965557652822","0.05563556490803064","true","0.03999999910593033","true","3","30"
"11","A11","false","16000491010585","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.9690955939935905","","","31.57437542134724","0.9633338742029461","31.588704834117838","0.02026484987966028","true","0.03999999910593033","true","3","28"
"11","A11","false","16000491010585","GYPC2","UNKNOWN","CY5","NFQ-MGB","Amp","0.8938742744933162","","","31.67130426758237","0.9201349271678674","31.897940827542723","0.32051249682572636","true","0.03999999910593033","true","3","29"
"12","A12","false","16000491010090","DPP6","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"12","A12","false","16000491010090","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"13","A13","false","16000491010125","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp","1.0097821541933072","","","35.29054282293448","0.9593346030468701","35.5467456507597","0.3623255138290507","true","0.03999999910593033","true","3","32"
"13","A13","false","16000491010125","GSX1","UNKNOWN","VIC","NFQ-MGB","Amp","0.8861691749286547","","","35.63751994767302","0.9351194720745413","35.82334697063882","0.2627990961338185","true","0.03999999910593033","true","3","33"
"14","A14","false","16000491010154","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp","0.9655820272883343","","","36.37509590322959","0.929276736155895","38.37582770987893","2.829462055634735","true","0.03999999910593033","true","3","33"
"14","A14","false","16000491010154","GSX1","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"15","A15","false","16000491010157","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp","1.0782719108389287","","","34.2222199339009","0.9503005846600671","33.64841163026464","0.811487485204853","true","0.03999999910593033","true","3","31"
"15","A15","false","16000491010157","GSX1","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.716411773475732","","","37.91875460892078","0.8666203749348979","37.08853282841612","1.174110901767122","true","0.03999999910593033","true","3","33"
"16","A16","false","16000491010171","RALYL","UNKNOWN","CY5","NFQ-MGB","Inconclusive","0.69183576815308","","","39.82510810197759","0.8715314360609631","37.84279861156727","2.8034089661591413","true","0.03999999910593033","true","3","36"
"16","A16","false","16000491010171","GSX1","UNKNOWN","VIC","NFQ-MGB","Amp","0.8157616942022525","","","37.79130331668213","0.9188779780234605","37.79130331668213","","true","0.03999999910593033","true","3","34"
"17","A17","false","16000491010585","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp","0.8418617840440049","","","36.88285173778898","0.9218144732405277","36.88285173778898","","true","0.03999999910593033","true","3","33"
"17","A17","false","16000491010585","GSX1","UNKNOWN","VIC","NFQ-MGB","Amp","0.9817729092070504","","","33.08001398016008","0.9467760095118416","33.33089186523355","0.35479490757138404","true","0.03999999910593033","true","3","30"
"18","A18","false","16000491010090","RALYL","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"18","A18","false","16000491010090","GSX1","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"19","A19","false","16000491010125","COL2A1","UNKNOWN","FAM","NFQ-MGB","Amp","1.204851680579169","","","28.233147529383395","0.8475912717921255","28.037409237487736","0.27681574707500617","false","0.12","true","3","24"
"19","A19","false","16000491010125","EpC","UNKNOWN","CY5","NFQ-MGB","Amp","1.0888068597969667","","","27.046877186470034","0.9513448931282336","26.976075842462798","0.10012822092958992","true","0.03999999910593033","true","3","24"
"19","A19","false","16000491010125","ImC","UNKNOWN","VIC","NFQ-MGB","Amp","0.8841022898825123","","","30.116956488176918","0.9164905949322715","29.846309745680756","0.3827522938503377","true","0.03999999910593033","true","3","27"
"20","A20","false","16000491010154","COL2A1","UNKNOWN","FAM","NFQ-MGB","Amp","1.168656990205711","","","29.203468851199474","0.9068814249768328","29.244365863089474","0.057837108875591195","false","0.12","true","3","24"
