# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-11_BARCA_plate 3_A1-G6(2).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 02:27:49 PM CEST
# Run End Date/Time: 2021-08-11 03:37:23 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 03:15:33 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:33:55 PM CEST
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"1","A1","1","60512.61",,"121140.086","105095.64"
"1","A1","2","60417.867",,"121013.99","105021.73"
"1","A1","3","60125.785",,"120722.75","105080.97"
"1","A1","4","59959.83",,"120364.766","104916.48"
"1","A1","5","59953.3",,"119894.74","104576.36"
"1","A1","6","59649.637",,"119162.64","104027.72"
"1","A1","7","58945.285",,"117886.09","102928.26"
"1","A1","8","57779.516",,"117002.44","101372.99"
"1","A1","9","57574.723",,"116377.84","101020.586"
"1","A1","10","57815.504",,"116119.914","101082.27"
"1","A1","11","57824.895",,"115945.805","101064.04"
"1","A1","12","57791.176",,"115723.484","101022.16"
"1","A1","13","57767.188",,"115629.89","100898.57"
"1","A1","14","57646.57",,"115763.71","100879.19"
"1","A1","15","57631.203",,"115842.79","100961.89"
"1","A1","16","57765.863",,"115784.734","101144.96"
"1","A1","17","57755.285",,"115671.39","101361.82"
"1","A1","18","57711.25",,"115579.45","101251.76"
"1","A1","19","57750.684",,"115489.98","101037.65"
"1","A1","20","58041.633",,"115476.02","100997.28"
"1","A1","21","58026.57",,"115476.85","101191.055"
"1","A1","22","57999.582",,"115469.79","101559.445"
"1","A1","23","58219.62",,"115057.8","101685.71"
"1","A1","24","58398.777",,"114945.55","101575.49"
"1","A1","25","58313.297",,"115084.62","101535.09"
"1","A1","26","58211.547",,"115048.336","101793.67"
"1","A1","27","58245.137",,"114986.89","102073.43"
"1","A1","28","58518.41",,"114992.555","102087.08"
"1","A1","29","58548.164",,"114950.19","102129.74"
"1","A1","30","58539.92",,"114930.54","102075.25"
"1","A1","31","58533.746",,"114926.96","102171.6"
"1","A1","32","58474.062",,"115080.0","102309.9"
"1","A1","33","58399.35",,"115014.66","102001.6"
"1","A1","34","58416.7",,"114659.43","101913.555"
"1","A1","35","58407.527",,"114609.36","102237.02"
"1","A1","36","58617.21",,"114757.445","102402.06"
"1","A1","37","58781.914",,"114782.59","102331.5"
"1","A1","38","59035.473",,"114853.41","102337.82"
"1","A1","39","58963.355",,"114845.38","102414.734"
"1","A1","40","58850.855",,"114873.74","102461.52"
"1","A1","41","58854.78",,"114838.555","102569.17"
"1","A1","42","58779.316",,"114802.36","102625.55"
"1","A1","43","58844.242",,"114765.53","102701.016"
"1","A1","44","59092.48",,"114769.85","102695.15"
"1","A1","45","59094.88",,"114768.89","102999.58"
"2","A2","1","57621.266",,"118963.02","102527.22"
"2","A2","2","57395.395",,"118525.27","102277.336"
"2","A2","3","56971.887",,"117646.26","101632.555"
"2","A2","4","56788.816",,"116862.73","101030.19"
"2","A2","5","56693.41",,"115914.71","100093.61"
"2","A2","6","56053.746",,"114680.95","99340.93"
"2","A2","7","55215.492",,"113775.28","98390.625"
"2","A2","8","54863.09",,"113248.78","97983.32"
"2","A2","9","54837.43",,"112856.78","97806.03"
"2","A2","10","55060.47",,"112648.234","97653.71"
"2","A2","11","55100.047",,"112425.266","97598.29"
"2","A2","12","54721.355",,"112329.92","97565.33"
"2","A2","13","54775.207",,"112368.72","97594.33"
"2","A2","14","55381.78",,"112331.37","97740.68"
"2","A2","15","55435.383",,"112410.01","97760.63"
"2","A2","16","55316.113",,"112519.086","97811.98"
"2","A2","17","55174.074",,"112227.07","97790.945"
"2","A2","18","55153.035",,"112030.4","97783.125"
"2","A2","19","55353.668",,"111762.84","97848.94"
"2","A2","20","55233.195",,"111735.57","98120.48"
"2","A2","21","55253.383",,"111919.93","97934.9"
"2","A2","22","55695.637",,"111883.32","97928.64"
"2","A2","23","55654.273",,"111700.26","98332.73"
"2","A2","24","55600.734",,"111659.19","98438.11"
"2","A2","25","55944.81",,"111672.695","98481.0"
"2","A2","26","56463.43",,"111681.29","99002.72"
"2","A2","27","56651.234",,"111802.64","99667.87"
"2","A2","28","57070.414",,"112077.41","100788.945"
"2","A2","29","58178.426",,"112075.625","102345.72"
"2","A2","30","60740.445",,"112079.55","105904.34"
"2","A2","31","64510.867",,"112324.96","111633.086"
"2","A2","32","70998.42",,"112393.88","118879.01"
"2","A2","33","80120.83",,"112747.375","126318.76"
"2","A2","34","90184.02",,"113286.33","133718.14"
"2","A2","35","100428.44",,"113834.305","140020.2"
"2","A2","36","109636.53",,"114155.71","145436.08"
"2","A2","37","117268.125",,"114733.96","150252.47"
"2","A2","38","123577.75",,"115168.52","154090.1"
"2","A2","39","129379.53",,"115321.34","157889.39"
