# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-11_BARCA_plate 3_A1-G6(2).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 02:27:49 PM CEST
# Run End Date/Time: 2021-08-11 03:37:23 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 03:15:33 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:33:56 PM CEST
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"16000491010030","COL2A1","2","-","0","26.724071025272195","0.017135307276195628","0.012116491972713117",
"16000491010030","DPP6","2","-","0","37.87109640045835","","",
"16000491010030","EpC","2","-","0","26.132738723031775","0.021410409130983705","0.015139445484496953",
"16000491010030","GSX1","2","-","0","36.531264764225476","","",
"16000491010030","GYPC1","2","-","0","","","",
"16000491010030","GYPC2","2","-","0","","","",
"16000491010030","ImC","2","-","0","28.816554452864924","0.2962156987415424","0.2094561292740561",
"16000491010030","RALYL","2","-","0","","","",
"16000491010030","ZSCAN12","2","-","0","","","",
"16000491010510","COL2A1","2","-","0","25.63351582756533","0.00794167345387211","0.005615611153202159",
"16000491010510","DPP6","2","-","0","29.13133393783691","0.0050886195381282555","0.0035981973822888464",
"16000491010510","EpC","2","-","0","24.516827732219944","0.05187999888803315","0.036684699021678785",
"16000491010510","GSX1","2","-","0","32.43498809042792","0.028760818787027846","0.020336969996784842",
"16000491010510","GYPC1","2","-","0","29.387418926864605","0.046106432929352806","0.0326021713806681",
"16000491010510","GYPC2","2","-","0","29.566831027900513","0.13818480038666295","0.09771140941031882",
"16000491010510","ImC","2","-","0","27.75386159818725","0.13012586622333314","0.09201288241429237",
"16000491010510","RALYL","2","-","0","31.616558464823314","0.16534692843051815","0.11691793434158612",
"16000491010510","ZSCAN12","2","-","0","30.070970725532774","0.14879096509397408","0.10521110039723995",
"16000491010511","COL2A1","2","-","0","26.422135723349147","0.5412498018787065","0.3827214052243087",
"16000491010511","DPP6","2","-","0","38.86581584133404","3.020811130628877","2.1360360351514807",
"16000491010511","EpC","2","-","0","27.510197310156354","0.5138257569896187","0.36332967711567044",
"16000491010511","GSX1","2","-","0","","","",
"16000491010511","GYPC1","2","-","0","","","",
"16000491010511","GYPC2","2","-","0","","","",
"16000491010511","ImC","2","-","0","26.857138513458192","0.20842557510994061","0.1473791375329451",
"16000491010511","RALYL","2","-","0","37.66555251972815","","",
"16000491010511","ZSCAN12","2","-","0","","","",
"16000491010512","COL2A1","2","-","0","25.59879546306821","0.13577528519352222","0.096007624877877",
"16000491010512","DPP6","2","-","0","26.827614784492457","0.036259472587614965","0.02563931894895027",
"16000491010512","EpC","2","-","0","24.101221307771638","0.18318499905867375","0.12953135504603952",
"16000491010512","GSX1","2","-","0","33.04869578737775","0.3911706771195735","0.2765994383925839",
"16000491010512","GYPC1","2","-","0","27.557053804792517","0.2618363161598569","0.1851462347175396",
"16000491010512","GYPC2","2","-","0","27.27804724592545","0.0466685549428456","0.032999651668263096",
"16000491010512","ImC","2","-","0","27.637530459020375","0.19113875038181927","0.1351555065425072",
"16000491010512","RALYL","2","-","0","25.972076963659703","0.02586121347249721","0.018286639416115677",
"16000491010512","ZSCAN12","2","-","0","26.727622434824337","0.20035965093605904","0.14167566785305694",
"16000491010515","COL2A1","2","-","0","25.521889079743815","0.014309076197791244","0.010118044811973207",
"16000491010515","DPP6","2","-","0","32.15501208191466","0.2568769326999304","0.18163942104252118",
"16000491010515","EpC","2","-","0","24.840052887971435","0.07372323484353187","0.05213019928886974",
"16000491010515","GSX1","2","-","0","33.179319607480224","0.10766555362043277","0.07613104306521185",
"16000491010515","GYPC1","2","-","0","","","",
"16000491010515","GYPC2","2","-","0","","","",
"16000491010515","ImC","2","-","0","26.991114585951184","0.07075274372320874","0.05002974487423483",
"16000491010515","RALYL","2","-","0","32.79686747135706","0.8676298636167215","0.613506960123343",
"16000491010515","ZSCAN12","2","-","0","","","",
"16000491010517","COL2A1","2","-","0","31.42726549872415","0.4215922827930104","0.2981107620588543",
"16000491010517","DPP6","2","-","0","37.600383916203064","","",
"16000491010517","EpC","2","-","0","28.547099307657774","0.030992491192883304","0.021915000688352133",
"16000491010517","GSX1","2","-","0","","","",
"16000491010517","GYPC1","2","-","0","","","",
"16000491010517","GYPC2","2","-","0","","","",
"16000491010517","ImC","2","-","0","","","",
"16000491010517","RALYL","2","-","0","","","",
"16000491010517","ZSCAN12","2","-","0","","","",
"16000491010617","COL2A1","2","-","0","25.51415432554697","0.07339175714018706","0.051895809157022486",
"16000491010617","DPP6","2","-","0","26.859712483083953","0.04364433155091404","0.030861202800005302",
"16000491010617","EpC","2","-","0","24.83541616005293","0.05372413924827785","0.03798870317586761",
"16000491010617","GSX1","2","-","0","38.4377948325648","","",
"16000491010617","GYPC1","2","-","0","26.272349764711176","0.002738261409566075","0.0019362432113656058",
"16000491010617","GYPC2","2","-","0","26.774882520981468","0.07154514313652807","0.05059005587280117",
"16000491010617","ImC","2","-","0","27.186298272508083","0.12435019923879226","0.08792886912364827",
"16000491010617","RALYL","2","-","0","36.99184859287557","1.3673576511489507","0.9668678674347326",
"16000491010617","ZSCAN12","2","-","0","26.71146208320529","0.03671131941165346","0.025958822902285496",
"16000491010638","COL2A1","2","-","0","25.774721957109282","0.1482883344516819","0.10485568686164301",
