# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-11_BARCA_plate 3_A1-G6(2).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 02:27:49 PM CEST
# Run End Date/Time: 2021-08-11 03:37:23 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 03:15:33 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:33:56 PM CEST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","16000491010030","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"1","A1","16000491010030","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"2","A2","16000491010510","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","30.176181825929923","30.070970725532774","0.9764743751708124","0.14879096509397408","","","true","0.03999999910593033","true","3","28","","","","","","","","","","","false"
"2","A2","16000491010510","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","29.35481675548251","29.387418926864605","0.9470929785341354","0.046106432929352806","","","true","0.03999999910593033","true","3","26","","","","","","","","","","","false"
"3","A3","16000491010511","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"3","A3","16000491010511","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"4","A4","16000491010512","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","26.86929810267698","26.727622434824337","0.9760015131791803","0.20035965093605904","","","true","0.03999999910593033","true","3","24","","","","","","","","","","","false"
"4","A4","16000491010512","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","27.74220003950986","27.557053804792517","0.9618721153621091","0.2618363161598569","","","true","0.03999999910593033","true","3","25","","","","","","","","","","","false"
"5","A5","16000491010515","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"5","A5","16000491010515","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"6","A6","16000491010517","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
