# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-11_BARCA_plate 3_A7-G12(3).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 04:22:43 PM CEST
# Run End Date/Time: 2021-08-11 05:32:18 PM CEST
# Run Duration: 69 minutes 34 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-13 10:05:09 AM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:34:47 PM CEST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","16000491010519","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","32.410342035671476","32.48377680339192","0.9662415418675857","0.10385244445937448","","","true","0.03999999910593033","true","3","29","","","","","","","","","","","false"
"1","A1","16000491010519","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","32.25764633182732","32.25137741909835","0.9490665377241235","0.008865581421779728","","","true","0.03999999910593033","true","3","29","","","","","","","","","","","false"
"2","A2","16000491010521","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"2","A2","16000491010521","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","43.225924674311806","39.578246473957506","0.302498869098211","5.1585959821136935","","","true","0.03999999910593033","true","3","36","","","","","","","","","","","false"
"3","A3","16000491010560","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"3","A3","16000491010560","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"4","A4","16000491010594","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"4","A4","16000491010594","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"5","A5","16000491010595","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","Inconclusive","43.63447658799363","43.63447658799363","0.04461800021265029","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"5","A5","16000491010595","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","36.018363568017165","36.018363568017165","0.9307421686681792","","","","true","0.03999999910593033","true","3","33","","","","","","","","","","","false"
