# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-13_BARCA_plate 3_4_H1-12(1).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-13 11:22:39 AM CEST
# Run End Date/Time: 2021-08-13 12:32:10 PM CEST
# Run Duration: 69 minutes 31 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-15 11:09:36 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:35:35 PM CEST
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"1","A1","1","56419.023",,"122508.26","105861.95"
"1","A1","2","56109.35",,"122030.07","105553.836"
"1","A1","3","55656.844",,"121292.38","104901.234"
"1","A1","4","54910.44",,"120256.57","104124.61"
"1","A1","5","54648.715",,"119619.56","103373.0"
"1","A1","6","54603.21",,"118795.91","102465.94"
"1","A1","7","54155.906",,"117425.06","101060.86"
"1","A1","8","53315.723",,"116804.17","100266.766"
"1","A1","9","53183.715",,"116354.836","100040.875"
"1","A1","10","53438.44",,"116153.42","99809.266"
"1","A1","11","53508.7",,"116115.85","99594.87"
"1","A1","12","53506.95",,"116035.164","99602.695"
"1","A1","13","53650.0",,"115920.89","99804.58"
"1","A1","14","53656.02",,"115896.83","99866.625"
"1","A1","15","53671.95",,"115827.664","100084.02"
"1","A1","16","53423.04",,"115792.17","100223.43"
"1","A1","17","53436.656",,"115842.83","100295.8"
"1","A1","18","53877.297",,"115697.47","100257.27"
"1","A1","19","53909.125",,"115582.15","100350.98"
"1","A1","20","53866.973",,"115590.336","100576.15"
"1","A1","21","53874.1",,"115538.625","100559.59"
"1","A1","22","53716.137",,"115595.586","100543.43"
"1","A1","23","53697.406",,"115534.35","100459.1"
"1","A1","24","54013.14",,"115499.164","100381.46"
"1","A1","25","54119.47",,"115355.13","100406.93"
"1","A1","26","54107.56",,"115200.04","100328.52"
"1","A1","27","54263.805",,"115076.35","100216.82"
"1","A1","28","54150.645",,"114942.18","100221.97"
"1","A1","29","53669.863",,"114901.75","100543.21"
"1","A1","30","53525.625",,"115069.266","100622.484"
"1","A1","31","53708.363",,"115110.99","100870.17"
"1","A1","32","54194.12",,"114999.49","100890.086"
"1","A1","33","54316.895",,"114891.234","100920.234"
"1","A1","34","54220.805",,"114778.83","100851.914"
"1","A1","35","54182.0",,"114706.38","100900.26"
"1","A1","36","54446.49",,"114668.44","101056.85"
"1","A1","37","54593.793",,"114591.125","101225.85"
"1","A1","38","54579.64",,"114537.39","101536.42"
"1","A1","39","54483.848",,"114521.16","101544.64"
"1","A1","40","54474.266",,"114518.375","101677.91"
"1","A1","41","54584.938",,"114470.734","101698.7"
"1","A1","42","54525.742",,"114383.49","101942.4"
"1","A1","43","54525.484",,"114375.86","102196.04"
"1","A1","44","54579.754",,"114429.34","102366.67"
"1","A1","45","54733.863",,"114422.94","102265.59"
"2","A2","1","54259.57",,"118347.9","103987.44"
"2","A2","2","53868.707",,"117855.88","103399.914"
"2","A2","3","52989.4",,"116934.5","102560.23"
"2","A2","4","52685.406",,"116230.96","101922.125"
"2","A2","5","52464.61",,"115478.27","101058.04"
"2","A2","6","51945.434",,"114580.445","100598.37"
"2","A2","7","51612.98",,"113448.06","99855.01"
"2","A2","8","51047.55",,"112520.086","98826.016"
"2","A2","9","50893.934",,"111867.7","98063.91"
"2","A2","10","50881.18",,"111586.06","97697.58"
"2","A2","11","50864.65",,"111413.89","97638.11"
"2","A2","12","50849.656",,"111399.05","97653.5"
"2","A2","13","50876.51",,"111513.86","97678.19"
"2","A2","14","51070.82",,"111598.7","97703.555"
"2","A2","15","51363.633",,"111456.93","97905.58"
"2","A2","16","51447.098",,"111399.17","98199.97"
"2","A2","17","51518.32",,"111468.6","98273.98"
"2","A2","18","51522.996",,"111782.78","98517.4"
"2","A2","19","51481.36",,"111806.27","98594.83"
"2","A2","20","51541.492",,"111794.016","98925.37"
"2","A2","21","51488.055",,"111852.5","99025.62"
"2","A2","22","51420.734",,"111864.78","99074.8"
"2","A2","23","51485.242",,"111775.03","99019.2"
"2","A2","24","51956.336",,"111755.266","99067.09"
"2","A2","25","51860.41",,"111949.43","99098.414"
"2","A2","26","51733.56",,"112048.1","99472.0"
"2","A2","27","51815.39",,"112122.44","99554.68"
"2","A2","28","52188.023",,"112206.49","99937.016"
"2","A2","29","52343.023",,"112189.75","100179.914"
"2","A2","30","52281.48",,"112310.35","100233.2"
"2","A2","31","52212.07",,"112324.414","100663.26"
"2","A2","32","52375.754",,"112268.07","101086.516"
"2","A2","33","52535.047",,"112389.3","101234.414"
"2","A2","34","52687.61",,"112646.54","101400.67"
"2","A2","35","52671.1",,"112839.29","101411.516"
"2","A2","36","52891.098",,"112968.09","101493.19"
"2","A2","37","53010.23",,"112927.23","101743.75"
"2","A2","38","52929.195",,"113065.266","101702.26"
"2","A2","39","53045.24",,"113295.51","101871.234"
"2","A2","40","53429.965",,"113572.016","101922.12"
"2","A2","41","53649.656",,"113781.664","102167.65"
"2","A2","42","53401.676",,"113741.79","102317.94"
"2","A2","43","53381.574",,"113914.336","102421.805"
"2","A2","44","54021.035",,"114087.89","102678.24"
"2","A2","45","54041.96",,"113989.73","102738.0"
"3","A3","1","58744.203",,"123976.07","109079.41"
"3","A3","2","58377.156",,"123416.82","108784.35"
"3","A3","3","57646.277",,"122174.54","107699.24"
"3","A3","4","56928.23",,"121378.35","106708.55"
"3","A3","5","56688.37",,"120492.38","105944.76"
"3","A3","6","56680.11",,"119785.44","105418.97"
"3","A3","7","56303.99",,"119237.04","104394.414"
"3","A3","8","55777.348",,"118307.79","103543.19"
"3","A3","9","55442.48",,"117304.38","102446.01"
"3","A3","10","55155.082",,"116416.7","101917.125"
"3","A3","11","54743.5",,"116242.59","101682.05"
"3","A3","12","54693.9",,"116470.97","101698.945"
"3","A3","13","54868.598",,"116474.85","101938.305"
"3","A3","14","54976.312",,"116502.945","102023.83"
"3","A3","15","55359.145",,"116482.51","102296.42"
"3","A3","16","55434.027",,"116605.17","102375.9"
"3","A3","17","55601.137",,"116553.85","102147.055"
"3","A3","18","55610.848",,"116499.05","102162.945"
"3","A3","19","55430.766",,"116480.9","102612.74"
"3","A3","20","55457.93",,"116412.625","102525.91"
"3","A3","21","55951.934",,"116448.15","102447.27"
"3","A3","22","55901.48",,"116596.44","102583.086"
"3","A3","23","55824.477",,"116614.2","102630.266"
