# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-13_BARCA_plate 3_4_H1-12(1).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-13 11:22:39 AM CEST
# Run End Date/Time: 2021-08-13 12:32:10 PM CEST
# Run Duration: 69 minutes 31 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-15 11:09:36 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:35:35 PM CEST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","16000491011037","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.0401143231388552","true","3","44"
"1","A1","false","16000491011037","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"2","A2","false","16000491011062","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.0401143231388552","true","3","44"
"2","A2","false","16000491011062","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"3","A3","false","16000491010451","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.0401143231388552","true","3","44"
"3","A3","false","16000491010451","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","1.0140761509040126","","","33.530094720388476","0.9560192324765945","33.590117317503335","0.084884770888135","true","0.03999999910593033","true","3","31"
"4","A4","false","16000491010520","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","0.9656541674348351","","","35.56495536630783","0.9635059959787833","35.56495536630783","","true","0.0401143231388552","true","3","32"
"4","A4","false","16000491010520","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","0.8944964175481085","","","34.564636173399734","0.9455971876375961","34.034040387017924","0.750375757239212","true","0.03999999910593033","true","3","31"
"7","A7","false","16000491011037","DPP6","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.6198449080478655","","","37.53126608005366","0.8689112151185443","37.67982080772967","0.2100881106330474","true","0.03999999910593033","true","3","32"
"7","A7","false","16000491011037","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","true","3","44"
