# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-13_BARCA_plate 3_4_H1-12(1).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-13 11:22:39 AM CEST
# Run End Date/Time: 2021-08-13 12:32:10 PM CEST
# Run Duration: 69 minutes 31 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-15 11:09:36 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:35:35 PM CEST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","16000491011037","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.0401143231388552","true","3","44","","","","","","","","","","","false"
"1","A1","16000491011037","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"2","A2","16000491011062","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.0401143231388552","true","3","44","","","","","","","","","","","false"
"2","A2","16000491011062","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"3","A3","16000491010451","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.0401143231388552","true","3","44","","","","","","","","","","","false"
"3","A3","16000491010451","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","33.530094720388476","33.590117317503335","0.9560192324765945","0.084884770888135","","","true","0.03999999910593033","true","3","31","","","","","","","","","","","false"
"4","A4","16000491010520","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","35.56495536630783","35.56495536630783","0.9635059959787833","","","","true","0.0401143231388552","true","3","32","","","","","","","","","","","false"
"4","A4","16000491010520","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","34.564636173399734","34.034040387017924","0.9455971876375961","0.750375757239212","","","true","0.03999999910593033","true","3","31","","","","","","","","","","","false"
"7","A7","16000491011037","","DPP6","VIC","UNKNOWN","VIC","NFQ-MGB","Inconclusive","37.53126608005366","37.67982080772967","0.8689112151185443","0.2100881106330474","","","true","0.03999999910593033","true","3","32","","","","","","","","","","","false"
"7","A7","16000491011037","","GYPC2","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","false","0.04","true","3","44","","","","","","","","","","","false"
"8","A8","16000491011062","","DPP6","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","34.31497400748047","33.827995382527114","0.9222800473014041","0.6886917759945648","","","true","0.03999999910593033","true","3","31","","","","","","","","","","","false"
"8","A8","16000491011062","","GYPC2","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","false","0.04","true","3","44","","","","","","","","","","","false"
"9","A9","16000491010451","","DPP6","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","36.71401435355649","36.315748801138355","0.9075139243581549","0.5632325456553057","","","true","0.03999999910593033","true","3","33","","","","","","","","","","","false"
"9","A9","16000491010451","","GYPC2","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","35.85660611185846","35.12128963166131","0.7724352216158045","1.0398945389308631","","","false","0.04","true","3","32","","","","","","","","","","","false"
"10","A10","16000491010520","","DPP6","VIC","UNKNOWN","VIC","NFQ-MGB","Inconclusive","36.46303575458103","35.81274097529116","0.8559076381377979","0.9196556964117796","","","true","0.03999999910593033","true","3","31","","","","","","","","","","","false"
"10","A10","16000491010520","","GYPC2","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","33.306362001203134","34.29125837309621","0.8956774856080283","1.3928538066630223","","","false","0.04","true","3","30","","","","","","","","","","","false"
"13","A13","16000491011037","","RALYL","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","36.18099823869922","36.18099823869922","0.9290921782783611","","","","true","0.03999999910593033","true","3","33","","","","","","","","","","","false"
"13","A13","16000491011037","","GSX1","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","36.204813582018254","36.75032168240652","0.9373845185708591","0.7714649539536887","","","true","0.03999999910593033","true","3","33","","","","","","","","","","","false"
"14","A14","16000491011062","","RALYL","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","34.92727816120809","34.344545071486216","0.9587307606727501","0.8241090387282268","","","true","0.03999999910593033","true","3","32","","","","","","","","","","","false"
"14","A14","16000491011062","","GSX1","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","36.57078097469848","35.93720834904755","0.8784326880764953","0.8960069999442472","","","true","0.03999999910593033","true","3","33","","","","","","","","","","","false"
