# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-11_BARCA_plate 3_standards.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 06:23:43 PM CEST
# Run End Date/Time: 2021-08-11 07:33:08 PM CEST
# Run Duration: 69 minutes 25 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-13 09:37:50 AM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:35:15 PM CEST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","STD_1","1000000.0","ZSCAN12","VIC","STANDARD","VIC","NFQ-MGB","Amp","19.219411745044532","19.23987277654403","0.9848774250750372","0.02893626824646579","","","false","0.04","true","3","16","","","","","40.3022","0.999239720174283","-3.5286","92.04129931596572","0.12565640723446683","0.03973604494545741","false"
"1","A1","STD_1","1000000.0","GYPC1","CY5","STANDARD","CY5","NFQ-MGB","Amp","18.658357072362797","18.678103056158815","0.9853351539890415","0.027925038088136244","","","false","0.04","true","3","15","","","","","39.2819","0.9991363489433136","-3.4447","95.11841056768311","0.1307485052218206","0.041346307716337266","false"
"2","A2","STD_2","100000.0","ZSCAN12","VIC","STANDARD","VIC","NFQ-MGB","Amp","22.592742316607215","22.513493161034436","0.9806300251464234","0.11207523061774885","","","false","0.04","true","3","19","","","","","40.3022","0.999239720174283","-3.5286","92.04129931596572","0.12565640723446683","0.03973604494545741","false"
"2","A2","STD_2","100000.0","GYPC1","CY5","STANDARD","CY5","NFQ-MGB","Amp","22.08727035899046","21.93903979465576","0.9692911245006143","0.20962967444017475","","","false","0.04","true","3","19","","","","","39.2819","0.9991363489433136","-3.4447","95.11841056768311","0.1307485052218206","0.041346307716337266","false"
"3","A3","STD_3","10000.0","ZSCAN12","VIC","STANDARD","VIC","NFQ-MGB","Amp","26.1261926740951","26.14958993510202","0.9719360174520465","0.033088723837906876","","","false","0.04","true","3","23","","","","","40.3022","0.999239720174283","-3.5286","92.04129931596572","0.12565640723446683","0.03973604494545741","false"
"3","A3","STD_3","10000.0","GYPC1","CY5","STANDARD","CY5","NFQ-MGB","Amp","25.52010021401101","25.547624272672437","0.9731650323799459","0.038924897051398975","","","false","0.04","true","3","23","","","","","39.2819","0.9991363489433136","-3.4447","95.11841056768311","0.1307485052218206","0.041346307716337266","false"
"4","A4","STD_4","1000.0","ZSCAN12","VIC","STANDARD","VIC","NFQ-MGB","Amp","29.79861261529925","29.79000152601958","0.9791848064915927","0.012177919248282584","","","false","0.04","true","3","27","","","","","40.3022","0.999239720174283","-3.5286","92.04129931596572","0.12565640723446683","0.03973604494545741","false"
"4","A4","STD_4","1000.0","GYPC1","CY5","STANDARD","CY5","NFQ-MGB","Amp","29.04538412363481","28.957685354862264","0.9606590714360077","0.12402478820187478","","","false","0.04","true","3","26","","","","","39.2819","0.9991363489433136","-3.4447","95.11841056768311","0.1307485052218206","0.041346307716337266","false"
"5","A5","gBLOCK","","ZSCAN12","VIC","POSITIVE_CONTROL","VIC","NFQ-MGB","Amp","24.374910364908303","24.35277115670455","0.9828755325406088","0.031309568497620684","","","false","0.04","true","3","21","","","","","40.3022","0.999239720174283","-3.5286","92.04129931596572","0.12565640723446683","0.03973604494545741","false"
"5","A5","gBLOCK","","GYPC1","CY5","POSITIVE_CONTROL","CY5","NFQ-MGB","Amp","23.527555004795055","23.641958582982603","0.9684685096228636","0.16179109185678503","","","false","0.04","true","3","20","","","","","39.2819","0.9991363489433136","-3.4447","95.11841056768311","0.1307485052218206","0.041346307716337266","false"
