# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-12_BARCA_plate 4_A1-G6(2).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-12 02:17:18 PM CEST
# Run End Date/Time: 2021-08-12 03:26:53 PM CEST
# Run Duration: 69 minutes 35 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-20 08:50:27 AM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:30:01 PM CEST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","16000491011085","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"1","A1","false","16000491011085","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"2","A2","false","16000491011087","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"2","A2","false","16000491011087","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"3","A3","false","16000491011088","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"3","A3","false","16000491011088","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","0.9074855855845981","","","33.42462032024309","0.9342348299487354","33.87208274436772","0.6328074288495739","true","0.03999999910593033","true","3","30"
"4","A4","false","16000491011092","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"4","A4","false","16000491011092","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"5","A5","false","16000491011100","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"5","A5","false","16000491011100","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"6","A6","false","16000491011104","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"6","A6","false","16000491011104","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"7","A7","false","16000491011085","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.8026022572690511","","","33.41819834167671","0.9567577919737154","33.40580031311212","0.017533460154171704","true","0.03999999910593033","true","3","29"
"7","A7","false","16000491011085","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"8","A8","false","16000491011087","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.8323856218642856","","","32.86984820645742","0.944360794477328","33.45393030192073","0.8260168209436969","true","0.03999999910593033","true","3","29"
"8","A8","false","16000491011087","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"9","A9","false","16000491011088","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.792694746438787","","","33.82967088739966","0.9213522695576519","33.685025608879855","0.20455931461641655","true","0.03999999910593033","true","3","30"
"9","A9","false","16000491011088","GYPC2","UNKNOWN","CY5","NFQ-MGB","Inconclusive","0.5770387950552447","","","38.12205793755179","0.2814529501802302","38.12205793755179","","true","0.03999999910593033","true","3","29"
"10","A10","false","16000491011092","DPP6","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.597638566668827","","","40.606834546815094","0.7753995136348346","40.606834546815094","","true","0.03999999910593033","true","3","35"
"10","A10","false","16000491011092","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"11","A11","false","16000491011100","DPP6","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"11","A11","false","16000491011100","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"12","A12","false","16000491011104","DPP6","UNKNOWN","VIC","NFQ-MGB","No Amp","0.460016253538089","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"12","A12","false","16000491011104","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","44"
"13","A13","false","16000491011085","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp","0.8692856681699586","","","34.57306171191361","0.922538095079714","34.107717617023596","0.6580959301639542","true","0.03999999910593033","true","3","31"
