# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-12_BARCA_plate 4_A7-G12(1).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-12 03:47:11 PM CEST
# Run End Date/Time: 2021-08-12 04:56:45 PM CEST
# Run Duration: 69 minutes 34 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-13 11:33:57 AM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:31:06 PM CEST
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"1","A1","1","58680.4",,"118303.83","102700.99"
"1","A1","2","58533.227",,"118013.39","102419.2"
"1","A1","3","58190.81",,"117420.48","102068.68"
"1","A1","4","57451.074",,"116700.88","101465.41"
"1","A1","5","56996.996",,"115471.125","100452.266"
"1","A1","6","56793.0",,"114917.484","100073.75"
"1","A1","7","56468.383",,"114711.95","99693.055"
"1","A1","8","56392.277",,"114640.266","99662.09"
"1","A1","9","56466.54",,"114650.2","99951.63"
"1","A1","10","56709.566",,"114800.53","100164.83"
"1","A1","11","56772.49",,"114865.99","100146.8"
"1","A1","12","56949.613",,"114887.32","100055.48"
"1","A1","13","56910.113",,"114864.3","99938.445"
"1","A1","14","56674.164",,"114943.055","99950.21"
"1","A1","15","56731.35",,"114989.26","100295.484"
"1","A1","16","57299.523",,"114915.375","100534.26"
"1","A1","17","57301.24",,"114735.984","100537.055"
"1","A1","18","57010.168",,"114693.875","100460.84"
"1","A1","19","56995.293",,"114806.45","100506.2"
"1","A1","20","57341.656",,"114821.13","100742.83"
"1","A1","21","57135.785",,"114943.84","101006.94"
"1","A1","22","57122.72",,"115099.9","100865.85"
"1","A1","23","57597.504",,"115304.34","100776.05"
"1","A1","24","57634.8",,"115258.57","100959.42"
"1","A1","25","57518.684",,"115138.42","101113.84"
"1","A1","26","57485.527",,"115064.984","101206.45"
"1","A1","27","57794.223",,"115079.36","101236.76"
"1","A1","28","58010.98",,"115086.51","101357.06"
"1","A1","29","57933.453",,"115253.08","101330.25"
"1","A1","30","57864.54",,"115084.87","101445.88"
"1","A1","31","58006.56",,"114963.87","101317.96"
"1","A1","32","58315.234",,"114897.04","101201.37"
"1","A1","33","58167.863",,"114816.67","101316.875"
"1","A1","34","57946.465",,"114712.57","101521.9"
"1","A1","35","57896.94",,"114687.55","101623.02"
"1","A1","36","58197.402",,"114744.41","101620.14"
"1","A1","37","58237.07",,"114539.266","101606.19"
"1","A1","38","58441.125",,"114493.1","101663.72"
"1","A1","39","58405.71",,"114546.5","101749.34"
"1","A1","40","58486.45",,"114597.6","101959.086"
"1","A1","41","58623.863",,"114763.13","102072.1"
"1","A1","42","58550.45",,"114575.1","102026.5"
"1","A1","43","58470.684",,"114536.88","102226.25"
"1","A1","44","58649.086",,"114668.49","102243.516"
"1","A1","45","58580.516",,"114686.06","102167.6"
"2","A2","1","61167.113",,"123909.01","108177.39"
"2","A2","2","60457.273",,"123180.56","107941.82"
"2","A2","3","59780.4",,"122032.79","107007.03"
"2","A2","4","59320.312",,"121118.42","105842.51"
"2","A2","5","58920.71",,"119905.766","104872.87"
"2","A2","6","58264.242",,"118587.34","103764.54"
"2","A2","7","57690.414",,"117909.164","102995.93"
"2","A2","8","57575.984",,"117587.87","102754.38"
"2","A2","9","57640.652",,"117455.75","102538.17"
"2","A2","10","57224.293",,"117507.78","102478.95"
"2","A2","11","57231.36",,"117554.14","102568.57"
"2","A2","12","57734.535",,"117343.73","102685.02"
"2","A2","13","57846.4",,"117209.17","102816.19"
"2","A2","14","57819.996",,"117192.164","102714.84"
"2","A2","15","57950.47",,"117135.695","102393.55"
"2","A2","16","57893.844",,"117000.09","102428.72"
"2","A2","17","57769.13",,"116928.664","102814.11"
"2","A2","18","57752.07",,"117013.06","102621.695"
"2","A2","19","58007.324",,"117058.35","102555.8"
"2","A2","20","58109.0",,"117254.74","102714.875"
"2","A2","21","58354.156",,"117213.51","102702.984"
"2","A2","22","58460.68",,"117120.83","102697.164"
"2","A2","23","58612.98",,"117126.75","102883.945"
"2","A2","24","58639.418",,"117091.875","102943.68"
"2","A2","25","58476.92",,"117074.18","103159.89"
"2","A2","26","58429.45",,"117279.34","103016.586"
"2","A2","27","58734.5",,"117166.555","102935.32"
"2","A2","28","58783.1",,"117053.36","103061.31"
"2","A2","29","58680.934",,"117021.836","103132.445"
"2","A2","30","58601.812",,"116883.51","103109.92"
"2","A2","31","58713.77",,"116814.98","103207.39"
"2","A2","32","58747.47",,"116897.805","103102.3"
"2","A2","33","59087.832",,"116876.586","103026.9"
"2","A2","34","59084.742",,"116921.39","103130.92"
"2","A2","35","59028.16",,"116880.75","103223.43"
"2","A2","36","58634.188",,"116836.9","103217.86"
"2","A2","37","58497.336",,"116564.48","103380.93"
"2","A2","38","58657.883",,"116451.16","103414.266"
"2","A2","39","58524.387",,"116436.17","103713.12"
"2","A2","40","58495.45",,"116456.69","103918.36"
"2","A2","41","58943.39",,"116474.11","103772.414"
"2","A2","42","59220.99",,"116310.24","103630.89"
"2","A2","43","59342.742",,"116187.375","103601.36"
"2","A2","44","59422.17",,"116165.93","103617.45"
"2","A2","45","59317.637",,"116172.984","103533.125"
"3","A3","1","66165.65",,"130388.63","116237.65"
"3","A3","2","65804.26",,"129493.32","115239.81"
"3","A3","3","64950.176",,"128246.26","114003.31"
"3","A3","4","64623.383",,"127293.836","113104.664"
"3","A3","5","64244.656",,"126347.57","112291.516"
"3","A3","6","63433.586",,"125249.625","111557.03"
"3","A3","7","63129.87",,"124588.64","110749.43"
"3","A3","8","63010.11",,"124435.15","110310.336"
"3","A3","9","62809.07",,"124377.87","109854.65"
"3","A3","10","62722.21",,"124222.23","109809.11"
"3","A3","11","62766.13",,"124244.664","110026.79"
"3","A3","12","62984.867",,"124548.086","109995.164"
"3","A3","13","63055.375",,"124839.664","109987.67"
"3","A3","14","63293.26",,"125005.52","110205.25"
"3","A3","15","63441.99",,"125086.84","110389.1"
"3","A3","16","63580.723",,"125270.1","110475.65"
"3","A3","17","63570.855",,"125434.055","110439.04"
"3","A3","18","63739.863",,"125398.77","110362.945"
"3","A3","19","64078.867",,"125462.234","110369.75"
"3","A3","20","64388.27",,"125541.86","110501.06"
"3","A3","21","64557.76",,"125619.32","110629.15"
"3","A3","22","64604.348",,"125655.94","110818.45"
"3","A3","23","64893.88",,"126103.78","111043.79"
"3","A3","24","64906.62",,"126320.71","111325.25"
"3","A3","25","64614.582",,"126411.75","111387.586"
"3","A3","26","64491.82",,"126306.97","111227.59"
"3","A3","27","64751.91",,"126166.29","111125.94"
"3","A3","28","65063.305",,"126198.71","111268.32"
"3","A3","29","65003.676",,"126363.5","111449.6"
"3","A3","30","65009.793",,"126179.89","111438.125"
"3","A3","31","65162.816",,"126061.34","111391.29"
"3","A3","32","64956.59",,"126158.87","111598.21"
"3","A3","33","64805.656",,"125922.88","111558.64"
"3","A3","34","64853.75",,"125775.26","111566.88"
"3","A3","35","64862.36",,"125857.24","111553.24"
"3","A3","36","65213.71",,"125872.04","111490.5"
"3","A3","37","65183.06",,"125477.71","111619.32"
"3","A3","38","65216.027",,"125353.25","111655.06"
"3","A3","39","65534.54",,"125558.086","112026.805"
"3","A3","40","65687.7",,"125590.77","112054.49"
"3","A3","41","65346.01",,"125793.086","112051.59"
"3","A3","42","65192.246",,"125737.59","112206.336"
"3","A3","43","65530.113",,"125621.72","112255.88"
"3","A3","44","66009.016",,"125426.15","112098.21"
"3","A3","45","65974.57",,"125295.49","111936.47"
"4","A4","1","60681.625",,"122130.49","110329.19"
"4","A4","2","60127.355",,"121289.29","109916.39"
"4","A4","3","59362.492",,"120156.336","108826.98"
"4","A4","4","58911.254",,"119268.43","108029.664"
"4","A4","5","58682.22",,"118349.22","107580.234"
"4","A4","6","58345.066",,"117443.45","106789.43"
"4","A4","7","57612.55",,"116420.56","105395.58"
"4","A4","8","57190.37",,"115576.91","104399.305"
"4","A4","9","57020.65",,"115367.66","103911.02"
"4","A4","10","56989.1",,"115373.32","103740.75"
"4","A4","11","57025.42",,"115260.09","103618.695"
"4","A4","12","56923.73",,"114974.51","103619.94"
"4","A4","13","56897.02",,"114947.65","103778.414"
"4","A4","14","56951.01",,"115165.516","103951.64"
"4","A4","15","57081.57",,"115375.695","103984.14"
"4","A4","16","57078.957",,"115347.78","104141.625"
"4","A4","17","57101.086",,"115257.44","104147.086"
"4","A4","18","57213.43",,"115207.16","104121.86"
"4","A4","19","57241.92",,"115228.7","104271.69"
"4","A4","20","57399.652",,"115189.98","104341.6"
"4","A4","21","57476.6",,"115209.23","104444.914"
"4","A4","22","57757.59",,"115395.18","104707.56"
"4","A4","23","57864.375",,"115434.81","104733.02"
"4","A4","24","57849.68",,"115555.53","104871.055"
"4","A4","25","57894.227",,"115643.82","104807.445"
"4","A4","26","57862.273",,"115573.39","104806.83"
"4","A4","27","57975.348",,"115494.47","105230.87"
"4","A4","28","58023.953",,"115482.08","105355.46"
"4","A4","29","57929.89",,"115428.586","105318.586"
"4","A4","30","57867.535",,"115389.09","105220.3"
"4","A4","31","58058.45",,"115460.38","105217.766"
"4","A4","32","58410.598",,"115369.18","105109.8"
"4","A4","33","58390.105",,"115297.61","105111.1"
"4","A4","34","58350.324",,"115284.06","105516.44"
"4","A4","35","58374.805",,"115172.6","105761.37"
"4","A4","36","58467.395",,"115176.73","105614.8"
"4","A4","37","58463.254",,"115429.27","105511.695"
"4","A4","38","58691.33",,"115446.52","105767.99"
"4","A4","39","58623.855",,"115462.875","106075.79"
"4","A4","40","58514.3",,"115402.54","106093.66"
"4","A4","41","58549.586",,"115231.56","106374.38"
"4","A4","42","58483.113",,"115200.3","106432.65"
"4","A4","43","58570.094",,"115329.0","106373.76"
"4","A4","44","58770.08",,"115147.42","106382.76"
"4","A4","45","58853.926",,"115059.22","106514.9"
"5","A5","1","61560.184",,"124260.36","109622.89"
"5","A5","2","61170.53",,"123464.3","109068.95"
"5","A5","3","60364.285",,"121947.48","108426.67"
"5","A5","4","59509.68",,"121217.56","107639.43"
"5","A5","5","59073.605",,"120508.75","106876.734"
"5","A5","6","58464.23",,"119528.54","105960.516"
"5","A5","7","58151.918",,"118411.19","105049.8"
"5","A5","8","57699.812",,"117735.08","104139.016"
"5","A5","9","57403.477",,"117512.516","103655.78"
"5","A5","10","57398.434",,"117368.81","103209.78"
"5","A5","11","57579.27",,"117302.33","103211.82"
"5","A5","12","57613.754",,"117304.305","103608.93"
"5","A5","13","57702.95",,"117310.08","103662.31"
"5","A5","14","57693.73",,"117393.8","103700.48"
"5","A5","15","57775.32",,"117484.57","103723.195"
