# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-12_BARCA_plate 4_A7-G12(1).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-12 03:47:11 PM CEST
# Run End Date/Time: 2021-08-12 04:56:45 PM CEST
# Run Duration: 69 minutes 34 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-13 11:33:57 AM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:31:06 PM CEST
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"16000491010081","COL2A1","2","-","0","26.43487242699699","0.08250746704738078","0.058341589447728555",
"16000491010081","DPP6","2","-","0","30.063447384765016","0.17801314420413825","0.12587430140708492",
"16000491010081","EpC","2","-","0","26.721603495873627","0.11125057394937021","0.07866603525049515",
"16000491010081","GSX1","2","-","0","33.28309061525661","0.38748653385935355","0.27399435571041963",
"16000491010081","GYPC1","2","-","0","29.592830160017535","0.48007520605045556","0.33946443367780615",
"16000491010081","GYPC2","2","-","0","29.842638248911527","0.2207474286363369","0.15609200371824727",
"16000491010081","ImC","2","-","0","27.406844203440098","0.24758404972955483","0.17506836047739563",
"16000491010081","RALYL","2","-","0","","","",
"16000491010081","ZSCAN12","2","-","0","31.491705434401467","0.6487825163706413","0.45875851684095276",
"16000491010091","COL2A1","2","-","0","25.95704795173775","0.021191482265528073","0.01498464081334936",
"16000491010091","DPP6","2","-","0","29.13187049698303","0.04778746526874502","0.033790840747246226",
"16000491010091","EpC","2","-","0","26.09416079475892","0.027631606124241596","0.019538496065526968",
"16000491010091","GSX1","2","-","0","32.83137328026711","0.07913393795182715","0.055956144147732464",
"16000491010091","GYPC1","2","-","0","28.923609500195486","0.25253535291615353","0.17856946053635012",
"16000491010091","GYPC2","2","-","0","28.65776895228364","0.10390487941407626","0.07347184483206383",
"16000491010091","ImC","2","-","0","26.81941835158078","0.05837500044622205","0.04127735866729135",
"16000491010091","RALYL","2","-","0","34.91558733454674","0.5573925726070068","0.39413606787342953",
"16000491010091","ZSCAN12","2","-","0","29.692453298328854","0.07088047740484542","0.050120066226706055",
"16000491010095","COL2A1","2","-","0","29.989892264100355","0.11959466094230026","0.08456619574600645",
"16000491010095","DPP6","2","-","0","","","",
"16000491010095","EpC","2","-","0","28.52549729289617","0.24139756264398946","0.17069385350746935",
"16000491010095","GSX1","2","-","0","","","",
"16000491010095","GYPC1","2","-","0","","","",
"16000491010095","GYPC2","2","-","0","","","",
"16000491010095","ImC","2","-","0","31.719802963298218","0.0037222120842510405","0.0026320014057884234",
"16000491010095","RALYL","2","-","0","39.04725087589734","","",
"16000491010095","ZSCAN12","2","-","0","","","",
"16000491010121","COL2A1","2","-","0","30.05727983882702","0.13114546475729688","0.092733847451746",
"16000491010121","DPP6","2","-","0","","","",
