* Block Type = 384-Well Block
* Date Created =
* Passive Reference = ROX
* Barcode = 

"Well","Well Position","Sample Name","Sample Color","Biogroup Name","Biogroup Color","Target Name","Target Color","Task","Reporter","Quencher","Quantity","Comments"
1,"A1","3522103425","""RGB(255,0,0)""","","","GYPC1","""RGB(30,136,229)""","UNKNOWN","CY5","NFQ-MGB","",""
1,"A1","3522103425","""RGB(255,0,0)""","","","ZSCAN12","""RGB(67,160,71)""","UNKNOWN","VIC","NFQ-MGB","",""
2,"A2","3522103481","""RGB(255,36,0)""","","","GYPC1","""RGB(30,136,229)""","UNKNOWN","CY5","NFQ-MGB","",""
2,"A2","3522103481","""RGB(255,36,0)""","","","ZSCAN12","""RGB(67,160,71)""","UNKNOWN","VIC","NFQ-MGB","",""
3,"A3","3522103442","""RGB(255,73,0)""","","","GYPC1","""RGB(30,136,229)""","UNKNOWN","CY5","NFQ-MGB","",""
3,"A3","3522103442","""RGB(255,73,0)""","","","ZSCAN12","""RGB(67,160,71)""","UNKNOWN","VIC","NFQ-MGB","",""
4,"A4","3522103498","""RGB(255,109,0)""","","","GYPC1","""RGB(30,136,229)""","UNKNOWN","CY5","NFQ-MGB","",""
4,"A4","3522103498","""RGB(255,109,0)""","","","ZSCAN12","""RGB(67,160,71)""","UNKNOWN","VIC","NFQ-MGB","",""
5,"A5","3522103459","""RGB(255,146,0)""","","","GYPC1","""RGB(30,136,229)""","UNKNOWN","CY5","NFQ-MGB","",""
5,"A5","3522103459","""RGB(255,146,0)""","","","ZSCAN12","""RGB(67,160,71)""","UNKNOWN","VIC","NFQ-MGB","",""
6,"A6","3522103515","""RGB(255,182,0)""","","","GYPC1","""RGB(30,136,229)""","UNKNOWN","CY5","NFQ-MGB","",""
6,"A6","3522103515","""RGB(255,182,0)""","","","ZSCAN12","""RGB(67,160,71)""","UNKNOWN","VIC","NFQ-MGB","",""
7,"A7","3522103425","""RGB(255,0,0)""","","","DPP6","""RGB(124,179,66)""","UNKNOWN","VIC","NFQ-MGB","",""
7,"A7","3522103425","""RGB(255,0,0)""","","","GYPC2","""RGB(0,172,193)""","UNKNOWN","CY5","NFQ-MGB","",""
8,"A8","3522103481","""RGB(255,36,0)""","","","DPP6","""RGB(124,179,66)""","UNKNOWN","VIC","NFQ-MGB","",""
8,"A8","3522103481","""RGB(255,36,0)""","","","GYPC2","""RGB(0,172,193)""","UNKNOWN","CY5","NFQ-MGB","",""
9,"A9","3522103442","""RGB(255,73,0)""","","","DPP6","""RGB(124,179,66)""","UNKNOWN","VIC","NFQ-MGB","",""
9,"A9","3522103442","""RGB(255,73,0)""","","","GYPC2","""RGB(0,172,193)""","UNKNOWN","CY5","NFQ-MGB","",""
10,"A10","3522103498","""RGB(255,109,0)""","","","DPP6","""RGB(124,179,66)""","UNKNOWN","VIC","NFQ-MGB","",""
10,"A10","3522103498","""RGB(255,109,0)""","","","GYPC2","""RGB(0,172,193)""","UNKNOWN","CY5","NFQ-MGB","",""
