# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-18_BARCA_plate 2_W_all samples.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-18 12:46:17 PM CEST
# Run End Date/Time: 2021-08-18 01:55:50 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 10:46:45 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:33:12 PM CEST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","16000491010125","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","Inconclusive","39.1228774299611","37.481468509868236","0.6441812090734619","2.3213027561953683","","","true","0.03999999910593033","true","3","32","","","","","","","","","","","false"
"1","A1","16000491010125","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","34.00217365505765","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"2","A2","16000491010154","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","35.52874882498341","35.51455857291781","0.9536541343633238","0.02006804693219855","","","true","0.03999999910593033","true","3","32","","","","","","","","","","","false"
"2","A2","16000491010154","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","34.052125579965576","33.89064919408882","0.9467298582653244","0.22836209491017523","","","true","0.03999999910593033","true","3","31","","","","","","","","","","","false"
"3","A3","16000491010157","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","34.92301515279354","34.63371172535474","0.9530408601089783","0.4091368307251976","","","true","0.03999999910593033","true","3","31","","","","","","","","","","","false"
"3","A3","16000491010157","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","33.57122891687506","33.93452897736218","0.9371687945606982","0.5137838727519084","","","true","0.03999999910593033","true","3","31","","","","","","","","","","","false"
"4","A4","16000491010171","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","32.99810321750047","32.522490815190764","0.9731600595334156","0.6726175097793309","","","true","0.03999999910593033","true","3","30","","","","","","","","","","","false"
"4","A4","16000491010171","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","33.004855830022336","33.34762319215752","0.9562912605650996","0.4847462522703764","","","true","0.03999999910593033","true","3","30","","","","","","","","","","","false"
"5","A5","16000491010585","","ZSCAN12","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","33.10739950080762","33.369089398968946","0.9516922295487394","0.3700854031158026","","","true","0.03999999910593033","true","3","30","","","","","","","","","","","false"
"5","A5","16000491010585","","GYPC1","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","31.490553843424046","31.69355866521315","0.9477106036100957","0.2870921722011631","","","true","0.03999999910593033","true","3","28","","","","","","","","","","","false"
