Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments,SORT.A,SORT.B
1,A1,Sample_01,"""RGB(255,0,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,1,1
1,A1,Sample_01,"""RGB(255,0,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,2,2
2,A2,Sample_09,"""RGB(255,136,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,3,3
2,A2,Sample_09,"""RGB(255,136,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,4,4
3,A3,Sample_17,"""RGB(238,255,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,5,5
3,A3,Sample_17,"""RGB(238,255,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,6,6
4,A4,Sample_25,"""RGB(102,255,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,7,7
4,A4,Sample_25,"""RGB(102,255,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,8,8
5,A5,Sample_33,"""RGB(0,255,34)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,9,9
5,A5,Sample_33,"""RGB(0,255,34)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,10,10
6,A6,Sample_41,"""RGB(0,255,170)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,11,11
6,A6,Sample_41,"""RGB(0,255,170)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,12,12
7,A7,Sample_49,"""RGB(0,204,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,13,13
7,A7,Sample_49,"""RGB(0,204,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,14,14
8,A8,Sample_57,"""RGB(0,68,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,15,15
8,A8,Sample_57,"""RGB(0,68,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,16,16
9,A9,Sample_65,"""RGB(68,0,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,17,17
9,A9,Sample_65,"""RGB(68,0,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,18,18
10,A10,Sample_73,"""RGB(204,0,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,19,19
10,A10,Sample_73,"""RGB(204,0,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,20,20
11,A11,Sample_81,"""RGB(255,0,170)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,21,21
11,A11,Sample_81,"""RGB(255,0,170)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,22,22
12,A12,Sample_89,"""RGB(255,0,34)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,23,23
12,A12,Sample_89,"""RGB(255,0,34)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,24,24
13,A13,Sample_01,"""RGB(255,0,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,25,25
13,A13,Sample_01,"""RGB(255,0,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,26,26
14,A14,Sample_09,"""RGB(255,136,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,27,27
14,A14,Sample_09,"""RGB(255,136,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,28,28
15,A15,Sample_17,"""RGB(238,255,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,29,29
15,A15,Sample_17,"""RGB(238,255,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,30,30
16,A16,Sample_25,"""RGB(102,255,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,31,31
16,A16,Sample_25,"""RGB(102,255,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,32,32
17,A17,Sample_33,"""RGB(0,255,34)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,33,33
17,A17,Sample_33,"""RGB(0,255,34)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,34,34
18,A18,Sample_41,"""RGB(0,255,170)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,35,35
18,A18,Sample_41,"""RGB(0,255,170)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,36,36
19,A19,Sample_49,"""RGB(0,204,255)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,37,37
19,A19,Sample_49,"""RGB(0,204,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,38,38
20,A20,Sample_57,"""RGB(0,68,255)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,39,39
20,A20,Sample_57,"""RGB(0,68,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,40,40
21,A21,Sample_65,"""RGB(68,0,255)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,41,41
21,A21,Sample_65,"""RGB(68,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,42,42
22,A22,Sample_73,"""RGB(204,0,255)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,43,43
22,A22,Sample_73,"""RGB(204,0,255)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,44,44
23,A23,Sample_81,"""RGB(255,0,170)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,45,45
23,A23,Sample_81,"""RGB(255,0,170)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,46,46
24,A24,Sample_89,"""RGB(255,0,34)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,47,47
24,A24,Sample_89,"""RGB(255,0,34)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,48,48
25,B1,Sample_01,"""RGB(255,0,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,49,49
25,B1,Sample_01,"""RGB(255,0,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,50,50
26,B2,Sample_09,"""RGB(255,136,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,51,51
26,B2,Sample_09,"""RGB(255,136,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,52,52
27,B3,Sample_17,"""RGB(238,255,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,53,53
27,B3,Sample_17,"""RGB(238,255,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,54,54
28,B4,Sample_25,"""RGB(102,255,0)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,55,55
28,B4,Sample_25,"""RGB(102,255,0)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,56,56
29,B5,Sample_33,"""RGB(0,255,34)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,57,57
29,B5,Sample_33,"""RGB(0,255,34)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,58,58
30,B6,Sample_41,"""RGB(0,255,170)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,59,59
30,B6,Sample_41,"""RGB(0,255,170)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,60,60
31,B7,Sample_49,"""RGB(0,204,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,61,61
31,B7,Sample_49,"""RGB(0,204,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,62,62
32,B8,Sample_57,"""RGB(0,68,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,63,63
32,B8,Sample_57,"""RGB(0,68,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,64,64
33,B9,Sample_65,"""RGB(68,0,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,65,65
33,B9,Sample_65,"""RGB(68,0,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,66,66
34,B10,Sample_73,"""RGB(204,0,255)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,67,67
34,B10,Sample_73,"""RGB(204,0,255)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,68,68
35,B11,Sample_81,"""RGB(255,0,170)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,69,69
35,B11,Sample_81,"""RGB(255,0,170)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,70,70
36,B12,Sample_89,"""RGB(255,0,34)""",,,RALYL,"""RGB(30,136,229)""",UNKNOWN,CY5,NFQ-MGB,,,71,71
36,B12,Sample_89,"""RGB(255,0,34)""",,,GSX1,"""RGB(67,160,71)""",UNKNOWN,FAM,NFQ-MGB,,,72,72
37,B13,Sample_01,"""RGB(255,0,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,73,73
37,B13,Sample_01,"""RGB(255,0,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,74,74
38,B14,Sample_09,"""RGB(255,136,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,75,75
38,B14,Sample_09,"""RGB(255,136,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,76,76
39,B15,Sample_17,"""RGB(238,255,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,77,77
39,B15,Sample_17,"""RGB(238,255,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,78,78
40,B16,Sample_25,"""RGB(102,255,0)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,79,79
40,B16,Sample_25,"""RGB(102,255,0)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,80,80
41,B17,Sample_33,"""RGB(0,255,34)""",,,DPP6,"""RGB(0,172,193)""",UNKNOWN,CY5,NFQ-MGB,,,81,81
41,B17,Sample_33,"""RGB(0,255,34)""",,,COL2A1,"""RGB(216,27,96)""",UNKNOWN,FAM,NFQ-MGB,,,82,82
